Ad,Adres,Telefon,E-posta,Web Sitesi,Google Maps Link
Cafe De Paris - Suadiye,"Suadiye, Plaj Yolu Sk. No:27, 34740 No:27, 34740, 34740 Kadıköy/İstanbul",(0216) 384 00 24,info@cafedeparis-suadiye.com,http://cafedeparis-suadiye.com/,https://www.google.com/maps/place/Cafe+De+Paris+-+Suadiye/data=!4m7!3m6!1s0x14cac71000e17889:0x5248e5ea9d9e8dc8!8m2!3d40.9563993!4d29.0807654!16s%2Fg%2F1tkzjfl6!19sChIJiXjhABDHyhQRyI2enerlSFI?authuser=0&hl=tr&rclk=1
Kadıköy Moda Coffy,"Caferağa, Dr. Esat Işık Cd. Işın Apt No:42 F, 34710 Kadıköy/İstanbul",,info@coffy.com.tr,https://coffy.com.tr/,https://www.google.com/maps/place/Kad%C4%B1k%C3%B6y+Moda+Coffy/data=!4m7!3m6!1s0x14cab9b544f7041d:0x263ef0c499e60a32!8m2!3d40.9844771!4d29.0268373!16s%2Fg%2F11scnnj95p!19sChIJHQT3RLW5yhQRMgrmmcTwPiY?authuser=0&hl=tr&rclk=1
The Townhouse,"Suadiye, Plaj Yolu Sk. No13, 34740 Kadıköy/İstanbul",(0216) 463 14 15,info@thetownhouse.com.tr,https://www.thetownhouse.com.tr/,https://www.google.com/maps/place/The+Townhouse/data=!4m7!3m6!1s0x14cac76ed8d8059b:0x658dcf9d7524743c!8m2!3d40.9579546!4d29.0818278!16s%2Fg%2F11h5wb4crn!19sChIJmwXY2G7HyhQRPHQkdZ3PjWU?authuser=0&hl=tr&rclk=1
Kadıköy Midyecisi,"Caferağa, Sarraf Ali Sk. 22/b, 34710 Kadıköy/İstanbul",(0216) 330 05 47,info@kadikoymidyecisi.com,http://www.kadikoymidyecisi.com/,https://www.google.com/maps/place/Kad%C4%B1k%C3%B6y+Midyecisi/data=!4m7!3m6!1s0x14cab9de75f25501:0x3ed5ed4707b7f2be!8m2!3d40.9880334!4d29.0242096!16s%2Fg%2F11h79t252p!19sChIJAVXydd65yhQRvvK3B0ft1T4?authuser=0&hl=tr&rclk=1
Güler Osmanlı Mutfağı,"Hasanpaşa, Kurbağalıdere Cd. No:74, 34722 Kadıköy/İstanbul",(0216) 348 22 45,guler@osmanlimutfagi.com.tr,http://www.osmanlimutfagi.com/,https://www.google.com/maps/place/G%C3%BCler+Osmanl%C4%B1+Mutfa%C4%9F%C4%B1/data=!4m7!3m6!1s0x14cab874bc081979:0x7feb34b61a954ed9!8m2!3d40.994778!4d29.0412267!16s%2Fg%2F1tds8xsk!19sChIJeRkIvHS4yhQR2U6VGrY0638?authuser=0&hl=tr&rclk=1
Mila Winehouse,"Caferağa, Miralay Nazım Sk. No:6 D:6A, 34710 Kadıköy/İstanbul",(0216) 405 21 06,milacaferest@gmail.com,http://milawinehouse.com/,https://www.google.com/maps/place/Mila+Winehouse/data=!4m7!3m6!1s0x14cab8667ae511db:0x6b34e5e24490f61c!8m2!3d40.9882943!4d29.0279767!16s%2Fg%2F11bycgtc39!19sChIJ2xHlema4yhQRHPaQROLlNGs?authuser=0&hl=tr&rclk=1
İstanbul Kadıköy Coffy,"Caferağa, Mühürdar Cd. No:26/A, 34710 Kadıköy/İstanbul",(0216) 414 33 15,info@coffy.com.tr,https://coffy.com.tr/,https://www.google.com/maps/place/%C4%B0stanbul+Kad%C4%B1k%C3%B6y+Coffy/data=!4m7!3m6!1s0x14cab9c1c9494b8d:0x965f9da3619a2669!8m2!3d40.9900468!4d29.0244025!16s%2Fg%2F11fp4sm3_d!19sChIJjUtJycG5yhQRaSaaYaOdX5Y?authuser=0&hl=tr&rclk=1
Walter's Coffee Roastery,"Caferağa, Bademaltı Sk. No:21, 34710 Kadıköy/İstanbul",0534 241 83 86,hello@walterscoffee.com,http://walterscoffee.com/,https://www.google.com/maps/place/Walter%27s+Coffee+Roastery/data=!4m7!3m6!1s0x14cab86121c506d5:0x9aee640743bfb766!8m2!3d40.9848414!4d29.0261005!16s%2Fg%2F11bcf1tc_p!19sChIJ1QbFIWG4yhQRZre_Qwdk7po?authuser=0&hl=tr&rclk=1
Yer Cafe,"Caferağa, Ferit Tek Sok. 25/A, 34710 Kadıköy/İstanbul",(0216) 450 16 70,tripssupport@theculturetrip.com,https://theculturetrip.com/europe/turkey/articles/the-best-cafes-and-coffee-shops-in-moda-kadikoy-istanbul/,https://www.google.com/maps/place/Yer+Cafe/data=!4m7!3m6!1s0x14cab88ab3358c75:0xc6637a8473126740!8m2!3d40.981544!4d29.0227054!16s%2Fg%2F11b6h_zl4g!19sChIJdYw1s4q4yhQRQGcSc4R6Y8Y?authuser=0&hl=tr&rclk=1
Sahan,"Caddebostan, Plaj Yolu Sk. No: 21/A, 34740 Kadıköy/İstanbul",(0216) 358 01 69,info@sahan.com,http://www.sahan.com/,https://www.google.com/maps/place/Sahan/data=!4m7!3m6!1s0x14cac77153499c0f:0x5b0c8dcd69616549!8m2!3d40.966539!4d29.0632381!16s%2Fg%2F1tp68rjr!19sChIJD5xJU3HHyhQRSWVhac2NDFs?authuser=0&hl=tr&rclk=1
Cadıköy Cafe,"Osmanağa, Arayıcıbaşı Sk. no :22, 34714 Kadıköy/İstanbul",0505 507 22 34,"mail@cadikoy.com.tr, franchise@cadikoy.com.tr",http://www.cadikoy.com.tr/,https://www.google.com/maps/place/Cad%C4%B1k%C3%B6y+Cafe/data=!4m7!3m6!1s0x14cab8666b50de31:0x4408727f5838820!8m2!3d40.9889811!4d29.0274708!16s%2Fg%2F11bxfy0tch!19sChIJMd5Qa2a4yhQRIIiD9SeHQAQ?authuser=0&hl=tr&rclk=1
sakman,"Osmanağa, Ali Suavi Sk. No:5, 34714 Kadıköy/İstanbul",(0216) 449 00 49,"beste@vedatsakman.com, bestesakmann@hotmail.com",http://www.sakmanistanbul.com/,https://www.google.com/maps/place/sakman/data=!4m7!3m6!1s0x14cab85e0a4858e5:0x39f46b5d1f6f50dc!8m2!3d40.9894062!4d29.0298869!16s%2Fg%2F1hc5282vj!19sChIJ5VhICl64yhQR3FBvH11r9Dk?authuser=0&hl=tr&rclk=1
Piraye Kafe,"Osmanağa, Ali Suavi Sk. No:7, 34714 Kadıköy/İstanbul",(0216) 414 15 21,nhkmpirayecafe@gmail.com,https://www.meyhankoli.com/restoran/istanbul-kadikoy-piraye-kafe-1625,https://www.google.com/maps/place/Piraye+Kafe/data=!4m7!3m6!1s0x14cab8658a6c897d:0x50468dece187c3d!8m2!3d40.9893653!4d29.030447!16s%2Fg%2F11c3ynp4vj!19sChIJfYlsimW4yhQRPXwYzt5oBAU?authuser=0&hl=tr&rclk=1
Kahve Dünyası - Göztepe,"Göztepe, Bağdat Cad. No:233, 34730 Kadıköy/İstanbul",0850 393 7070,"musterihizmetleri@altinmarkart.com, online@altinmarkaRT.com, altinkiliclarkahvekakao@hs03.kep.tr, u003eonline@altinmarkaRT.com",https://www.kahvedunyasi.com/,https://www.google.com/maps/place/Kahve+D%C3%BCnyas%C4%B1+-+G%C3%B6ztepe/data=!4m7!3m6!1s0x14caa3a04dcb0ea1:0xf1a318dfa5cb6981!8m2!3d40.971776!4d29.059857!16s%2Fg%2F1vg0syxt!19sChIJoQ7LTaCjyhQRgWnLpd8Yo_E?authuser=0&hl=tr&rclk=1
Kadıköyfal (Cafe 23),"Caferağa Mh.Moda Cd, Zuhal Sk. No:1-a, 34710 Kadıköy/İstanbul",0545 442 35 32,kadikoyfal@gmail.com,https://kadikoyfal.com/,https://www.google.com/maps/place/Kad%C4%B1k%C3%B6yfal+%28Cafe+23%29/data=!4m7!3m6!1s0x14cab9741b32495b:0x41966bdf6945c094!8m2!3d40.9871989!4d29.0254!16s%2Fg%2F11hz15w3lt!19sChIJW0kyG3S5yhQRlMBFad9rlkE?authuser=0&hl=tr&rclk=1
