Ad,Adres,Telefon,E-posta,Web Sitesi,Google Maps Link
AURA FAL CAFE SPRİTÜEL HİZMETLERİ,"Osmanağa, Serasker Cd. No:39/1, 34714 Kadıköy/İstanbul",0544 252 03 02,info@aurafalcafe.com,http://www.aurafalcafe.com/,https://www.google.com/maps/place/AURA+FAL+CAFE+SPR%C4%B0T%C3%9CEL+H%C4%B0ZMETLER%C4%B0/data=!4m7!3m6!1s0x14cab866325800b1:0x5128c7d093d9277c!8m2!3d40.9895977!4d29.0267892!16s%2Fg%2F11c1pnc2h9!19sChIJsQBYMma4yhQRfCfZk9DHKFE?authuser=0&hl=tr&rclk=1
Akoğuz Izgara & Ev Yemekleri,"Rasimpaşa, Karakolhane Cd. 34/1, 34716 Kadıköy/İstanbul",(0216) 337 39 24,,N/A,https://www.google.com/maps/place/Ako%C4%9Fuz+Izgara+%26+Ev+Yemekleri/data=!4m7!3m6!1s0x14cab86c110692d9:0xc172678b4a0a9b1c!8m2!3d40.9947121!4d29.0295826!16s%2Fg%2F1hjgymh7f!19sChIJ2ZIGEWy4yhQRHJsKSotncsE?authuser=0&hl=tr&rclk=1
Ekspres İnegöl Köftecisi,"Göztepe, Bağdat Cad. No:207, 34730 Kadıköy/İstanbul",(0216) 467 15 30,,http://www.ekspresinegolkoftecisi.com/,https://www.google.com/maps/place/Ekspres+%C4%B0neg%C3%B6l+K%C3%B6ftecisi/data=!4m7!3m6!1s0x14cac782bd3f9143:0x3decd60691c7c365!8m2!3d40.9735253!4d29.056341!16s%2Fg%2F1q66zjs1d!19sChIJQ5E_vYLHyhQRZcPHkQbW7D0?authuser=0&hl=tr&rclk=1
Agapia Meyhanesi,"Caferağa, Kadife Sk. No:29, 34710 Kadıköy/İstanbul",(0216) 347 85 96,,https://www.instagram.com/agapiamezze/,https://www.google.com/maps/place/Agapia+Meyhanesi/data=!4m7!3m6!1s0x14cab866c22619e5:0x903e58ef6bf6e6ac!8m2!3d40.986387!4d29.0265851!16s%2Fg%2F1thzr31q!19sChIJ5Rkmwma4yhQRrOb2a-9YPpA?authuser=0&hl=tr&rclk=1
Viktor Levi Şarap Evi,"Caferağa Mh Moda Cd. &, Damacı Sk. No:4, 34710 Kadıköy",0530 975 75 23,"lodash@4.17.21, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, focus-within-polyfill@5.0.9, react-dom@18.3.1, core-js-bundle@3.2.1, react@18.3.1, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com",http://www.viktorlevimoda.com/,https://www.google.com/maps/place/Viktor+Levi+%C5%9Earap+Evi/data=!4m7!3m6!1s0x14cab866e40a1239:0xaf17ef036cfbef8d!8m2!3d40.9873587!4d29.0260049!16s%2Fg%2F1tfn5k53!19sChIJORIK5Ga4yhQRje_7bAPvF68?authuser=0&hl=tr&rclk=1
Kimyon Kadıköy,"Caferağa, Kadife Sk. No:17 D:C, 34710 Kadıköy/İstanbul",(0216) 330 48 45,,http://www.kimyon.com.tr/,https://www.google.com/maps/place/Kimyon+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cad06877f41663:0x3521c8fc32bcf708!8m2!3d40.986745!4d29.0267737!16s%2Fg%2F1td_7q2c!19sChIJYxb0d2jQyhQRCPe8MvzIITU?authuser=0&hl=tr&rclk=1
Flare,"Caferağa, Moda Cd. 92C, 34710 Kadıköy/İstanbul",,,N/A,https://www.google.com/maps/place/Flare/data=!4m7!3m6!1s0x14cab9fbf59b803d:0xcb527da9d7d811b4!8m2!3d40.9855549!4d29.0249572!16s%2Fg%2F11tx353r89!19sChIJPYCb9fu5yhQRtBHY16l9Uss?authuser=0&hl=tr&rclk=1
Yeşilçam Kafe,"Caferağa, Sakız Gülü Sk. No:4, 34710 Kadıköy/İstanbul",,,N/A,https://www.google.com/maps/place/Ye%C5%9Fil%C3%A7am+Kafe/data=!4m7!3m6!1s0x14cab866e28b0001:0xcc32a44df99bad4d!8m2!3d40.9876373!4d29.0256871!16s%2Fg%2F11fxvdzqvf!19sChIJAQCL4ma4yhQRTa2b-U2kMsw?authuser=0&hl=tr&rclk=1
Hane Kadıköy,"Osmanağa, Mimar Çk No: 7, 34714 Kadıköy/İstanbul",0552 388 03 00,,https://www.instagram.com/hanekadikoy,https://www.google.com/maps/place/Hane+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab91333b73c65:0x178784e279537d07!8m2!3d40.9896761!4d29.0283228!16s%2Fg%2F11grtblbwc!19sChIJZTy3MxO5yhQRB31TeeKEhxc?authuser=0&hl=tr&rclk=1
Nebyan Doğal Kalamış,"Fenerbahçe, Rüştiye Sk. no:11/A, 34726 Kadıköy/İstanbul",(0216) 550 53 55,"u003eebru@nebyandogal.com, info@nebyandogal.com, guvenlik@2x.png, ebulten@2x.png",http://nebyandogal.com/,https://www.google.com/maps/place/Nebyan+Do%C4%9Fal+Kalam%C4%B1%C5%9F/data=!4m7!3m6!1s0x14cab9066b23aa73:0x742239b4b9a1c762!8m2!3d40.9828118!4d29.039586!16s%2Fg%2F11sh7h4wsj!19sChIJc6ojawa5yhQRYsehubQ5InQ?authuser=0&hl=tr&rclk=1
Haçapuri,"Hasanpaşa, Fahrettin Kerim Gökay Cd No:11, 34722 Kadıköy/İstanbul",(0216) 450 23 00,,N/A,https://www.google.com/maps/place/Ha%C3%A7apuri/data=!4m7!3m6!1s0x14cab873a43f0001:0x4d78718cf8fcffa5!8m2!3d40.9937855!4d29.038209!16s%2Fg%2F11c5s5ls2p!19sChIJAQA_pHO4yhQRpf_8-IxxeE0?authuser=0&hl=tr&rclk=1
Spice Corner Indian Restaurant Kadikoy,"Osmanağa, Körler Sk. 6a, 34714 Kadıköy/İstanbul",0505 599 00 91,,N/A,https://www.google.com/maps/place/Spice+Corner+Indian+Restaurant+Kadikoy/data=!4m7!3m6!1s0x14cab9a661401387:0x69abffc013f058ba!8m2!3d40.9909362!4d29.0245201!16s%2Fg%2F11vf3x47_k!19sChIJhxNAYaa5yhQRuljwE8D_q2k?authuser=0&hl=tr&rclk=1
Naboo Cafe,"Caferağa, Zuhal Sk. No:9, 34710 Kadıköy/İstanbul",0542 137 94 79,,https://nabookafe.com/,https://www.google.com/maps/place/Naboo+Cafe/data=!4m7!3m6!1s0x14cab867229772f3:0x395276ef5d375a43!8m2!3d40.9871942!4d29.0249999!16s%2Fg%2F11b8zb5n7b!19sChIJ83KXIme4yhQRQ1o3Xe92Ujk?authuser=0&hl=tr&rclk=1
Borsam Taşfırın Tarihi Çarşı,"Caferağa, Güneşli Bahçe Sok No:22, 34710 Kadıköy/İstanbul",(0216) 337 05 04,,N/A,https://www.google.com/maps/place/Borsam+Ta%C5%9Ff%C4%B1r%C4%B1n+Tarihi+%C3%87ar%C5%9F%C4%B1/data=!4m7!3m6!1s0x14cab867c6508ca1:0x812097f208881504!8m2!3d40.9899749!4d29.0247398!16s%2Fg%2F11cn9kvxb4!19sChIJoYxQxme4yhQRBBWICPKXIIE?authuser=0&hl=tr&rclk=1
Choco Port Kadıköy,"Osmanağa, Gen. Asım Gündüz Cd. No:25/2, 34714 Kadıköy/İstanbul",0530 081 13 23,info@chocoport.com.tr,http://chocoport.com.tr/,https://www.google.com/maps/place/Choco+Port+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab92d20c70593:0xe437bbd990cd07be!8m2!3d40.9884201!4d29.0287956!16s%2Fg%2F11p14kgnc7!19sChIJkwXHIC25yhQRvgfNkNm7N-Q?authuser=0&hl=tr&rclk=1
Village Coffee + Eatery,"Rasimpaşa, Recaizade Sk. No:54/A, 34716 Kadıköy/İstanbul",0554 584 20 16,"lodash@4.17.21, focus-within-polyfill@5.0.9, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, react-dom@18.3.1, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, core-js-bundle@3.2.1, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, react@18.3.1, 8c4075d5481d476e945486754f783364@sentry.io, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com",http://www.villagecoffeeeatery.com/,https://www.google.com/maps/place/Village+Coffee+%2B+Eatery/data=!4m7!3m6!1s0x14cab86eac1d75c3:0xe071c9675ece6435!8m2!3d40.9940675!4d29.0289391!16s%2Fg%2F11ddxrxnzj!19sChIJw3UdrG64yhQRNWTOXmfJceA?authuser=0&hl=tr&rclk=1
Köfteci Şükrü,"Bostancı, Bağdat Cad. 533/A, 34744 Kadıköy/İstanbul",(0216) 384 85 76,,N/A,https://www.google.com/maps/place/K%C3%B6fteci+%C5%9E%C3%BCkr%C3%BC/data=!4m7!3m6!1s0x14cac6fd2f67fdfb:0xbdd572d38b11ac71!8m2!3d40.953651!4d29.094925!16s%2Fg%2F1vd39537!19sChIJ-_1nL_3GyhQRcawRi9Ny1b0?authuser=0&hl=tr&rclk=1
Hatay Restaurant 1967 ( Müze Restaurant ),"Bostancı, Bağdat Cad. No:526, 34744 Kadıköy/İstanbul",0552 856 33 57,,https://sites.google.com/view/hatayrestaurant1967/ana-sayfa,https://www.google.com/maps/place/Hatay+Restaurant+1967+%28+M%C3%BCze+Restaurant+%29/data=!4m7!3m6!1s0x14cac6fd4884cc2b:0xaa8f2da3ed9d2953!8m2!3d40.9538889!4d29.0936111!16s%2Fg%2F1tfdvwrf!19sChIJK8yESP3GyhQRUymd7aMtj6o?authuser=0&hl=tr&rclk=1
KADİKÖY CİĞERCİSİ,"Feneryolu, Fahrettin Kerim Gökay Cd No:56, 34724 Kadıköy/İstanbul",(0216) 804 21 00,info@kadikoycigercisi.com.tr,https://kadikoycigercisi.com.tr/,https://www.google.com/maps/place/KAD%C4%B0K%C3%96Y+C%C4%B0%C4%9EERC%C4%B0S%C4%B0/data=!4m7!3m6!1s0x14cad0455ec6e1af:0xd8fd52a6d6913208!8m2!3d40.9873852!4d29.0446184!16s%2Fg%2F11g6qdkq2m!19sChIJr-HGXkXQyhQRCDKR1qZS_dg?authuser=0&hl=tr&rclk=1
Efrouz İstanbul,"Sahrayı Cedit, Batman Sk. No:4, 34734 Kadıköy/İstanbul",0531 381 82 82,,http://www.efrouz.com/,https://www.google.com/maps/place/Efrouz+%C4%B0stanbul/data=!4m7!3m6!1s0x14cac70effeefce5:0x3d00fac6467d0141!8m2!3d40.9871406!4d29.0857067!16s%2Fg%2F11p08jwq_9!19sChIJ5fzu_w7HyhQRQQF9Rsb6AD0?authuser=0&hl=tr&rclk=1
"Toti""s Coffee& Chocolate (Moda Neşe Sokak)","Moda Caddesi Neşe Sok. No:2B Moda, 34710 Kadıköy/İstanbul",(0216) 337 41 84,,N/A,https://www.google.com/maps/place/Toti%22s+Coffee%26+Chocolate+%28Moda+Ne%C5%9Fe+Sokak%29/data=!4m7!3m6!1s0x14cab8672c7a4321:0x8784fd0adc56527d!8m2!3d40.9863038!4d29.0252658!16s%2Fg%2F11c610bj01!19sChIJIUN6LGe4yhQRfVJW3Ar9hIc?authuser=0&hl=tr&rclk=1
Qahwah The Coffee & Bakery,"Caferağa, Sarraf Ali Sk. No:37, 34710 Kadıköy/İstanbul",0537 245 47 57,,N/A,https://www.google.com/maps/place/Qahwah+The+Coffee+%26+Bakery/data=!4m7!3m6!1s0x14cab867653bffff:0x2286cdf6b8b92f97!8m2!3d40.9883521!4d29.0233297!16s%2Fg%2F11c5j77lmv!19sChIJ__87ZWe4yhQRly-5uPbNhiI?authuser=0&hl=tr&rclk=1
2Bites,"Caferağa, Dalga Sk. No: 10A, 34710 Kadıköy/İstanbul",0541 637 30 45,,N/A,https://www.google.com/maps/place/2Bites/data=!4m7!3m6!1s0x14cab9c86e0c1df7:0x9248478cff091c21!8m2!3d40.9853183!4d29.0257448!16s%2Fg%2F11h1y8nw7v!19sChIJ9x0Mbsi5yhQRIRwJ_4xHSJI?authuser=0&hl=tr&rclk=1
mutfakkoz,"Kozyatağı, Kaya Sultan Sokağı No:27-B, 34742 Kadıköy/İstanbul",0551 636 44 55,luciano@latinotype.com,http://www.mutfakkoz.com/,https://www.google.com/maps/place/mutfakkoz/data=!4m7!3m6!1s0x14cac72cb3be4469:0x671f0a3f47cc75f1!8m2!3d40.9659309!4d29.0911023!16s%2Fg%2F11m1gns5pk!19sChIJaUS-syzHyhQR8XXMRz8KH2c?authuser=0&hl=tr&rclk=1
Cafe Cadde,"Caddebostan Mahallesi, Erenköy, Bağdat Cad. No:349, 34728 Kadıköy",(0216) 302 76 24,,http://www.cafecadde.com.tr/,https://www.google.com/maps/place/Cafe+Cadde/data=!4m7!3m6!1s0x14cac633c300c977:0xa0f3cbb80e393cf1!8m2!3d40.964108!4d29.074343!16s%2Fg%2F1pp2twpmj!19sChIJd8kAwzPGyhQR8Tw5DrjL86A?authuser=0&hl=tr&rclk=1
Cafe & Shop Kadıköy,"Caferağa Mh Bahariye Cad, Hacı Şükrü Sk. No:11, 34710 Kadıköy/İstanbul",(0216) 418 60 64,,N/A,https://www.google.com/maps/place/Cafe+%26+Shop+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab86695ffa82b:0x1f161a2ea6e50980!8m2!3d40.9867094!4d29.0274584!16s%2Fg%2F1typr86j!19sChIJK6j_lWa4yhQRgAnlpi4aFh8?authuser=0&hl=tr&rclk=1
Unique Coffee,"Osmanağa, Vahap Bey Sk. 31/A, 34714 Kadıköy/İstanbul",(0216) 450 34 34,,N/A,https://www.google.com/maps/place/Unique+Coffee/data=!4m7!3m6!1s0x14cab868c8c3a5a7:0x2e969eb0dd639d46!8m2!3d40.9914742!4d29.0279295!16s%2Fg%2F11bwgvfkxm!19sChIJp6XDyGi4yhQRRp1j3bCeli4?authuser=0&hl=tr&rclk=1
Cunda Balık Restaurant,"Bostancı, Koy Yolu Sk. No:6, 34744 Kadıköy/İstanbul",(0216) 380 59 89,"lodash@4.17.21, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, focus-within-polyfill@5.0.9, react-dom@18.3.1, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, core-js-bundle@3.2.1, react@18.3.1, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com",http://www.cundabalik.com.tr/,https://www.google.com/maps/place/Cunda+Bal%C4%B1k+Restaurant/data=!4m7!3m6!1s0x14cac6fd36fbdbaf:0xd24ca6e1f4d8057c!8m2!3d40.95342!4d29.093872!16s%2Fg%2F1tcz5bpr!19sChIJr9v7Nv3GyhQRfAXY9OGmTNI?authuser=0&hl=tr&rclk=1
Zapata Burger,"Caferağa, Sakız Sk. No:1 D:C, 34710 Kadıköy/İstanbul",(0216) 550 06 56,,N/A,https://www.google.com/maps/place/Zapata+Burger/data=!4m7!3m6!1s0x14cab866fbab128f:0x1f2b0bf76fb2a7a8!8m2!3d40.987786!4d29.026163!16s%2Fg%2F12hnrdwm9!19sChIJjxKr-2a4yhQRqKeyb_cLKx8?authuser=0&hl=tr&rclk=1
Öz Kaygısız Lokantası,"Osmanağa, Nüzhet Efendi Sk. No:49A, 34714 Kadıköy/İstanbul",(0216) 345 26 26,,N/A,https://www.google.com/maps/place/%C3%96z+Kayg%C4%B1s%C4%B1z+Lokantas%C4%B1/data=!4m7!3m6!1s0x14cab868e4bf5d57:0x974eaf8a7fff5666!8m2!3d40.9924561!4d29.0263831!16s%2Fg%2F1tdjm7fc!19sChIJV12_5Gi4yhQRZlb_f4qvTpc?authuser=0&hl=tr&rclk=1
Moda Yemek,"Caferağa, Dr. Esat Işık Cd. No:7, 34710 Kadıköy/İstanbul",(0216) 330 88 51,,N/A,https://www.google.com/maps/place/Moda+Yemek/data=!4m7!3m6!1s0x14cab9dba5330741:0x597d7facf9a42ee3!8m2!3d40.9860056!4d29.025993!16s%2Fg%2F11h0y_vg1s!19sChIJQQczpdu5yhQR4y6k-ax_fVk?authuser=0&hl=tr&rclk=1
Kadıköy Sofrası,"Osmanağa, Gazi Osman Paşa Sk. No:2, 34714 Kadıköy/İstanbul",(0216) 336 73 51,,N/A,https://www.google.com/maps/place/Kad%C4%B1k%C3%B6y+Sofras%C4%B1/data=!4m7!3m6!1s0x14cab86fa9a5654b:0xaabd9aa395423e2!8m2!3d40.9909741!4d29.0317978!16s%2Fg%2F1td0jqpz!19sChIJS2WlqW-4yhQR4iNUOarZqwo?authuser=0&hl=tr&rclk=1
Selamiçeşme Kebap,"Göztepe, Mustafa Mazhar Bey Sokağı No:18/A, 34724 Kadıköy/İstanbul",(0216) 567 47 47,,N/A,https://www.google.com/maps/place/Selami%C3%A7e%C5%9Fme+Kebap/data=!4m7!3m6!1s0x14cac7321aaa7161:0x7d93a8ce3975c930!8m2!3d40.9809299!4d29.0549959!16s%2Fg%2F11pkcnbvs1!19sChIJYXGqGjLHyhQRMMl1Oc6ok30?authuser=0&hl=tr&rclk=1
Forchetta Plus Kadıköy,"Osmanağa, Kıvanç Sk. no:6/B, 34714 Kadıköy/İstanbul",0535 312 59 53,,N/A,https://www.google.com/maps/place/Forchetta+Plus+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab96a9402aef9:0x9325bf8afb15a0f!8m2!3d40.9922209!4d29.0285496!16s%2Fg%2F11kq6rwwj_!19sChIJ-a4ClGq5yhQRD1qxr_hbMgk?authuser=0&hl=tr&rclk=1
Fahriye Cafe,"Caferağa Mahallesi, Moda Caddesi & Leylek Sokak 3/A, 34710 Kadıköy/İstanbul",0505 881 13 48,,N/A,https://www.google.com/maps/place/Fahriye+Cafe/data=!4m7!3m6!1s0x14cab860c1baa2b5:0x409b3a0a2e638e26!8m2!3d40.9852358!4d29.0243209!16s%2Fg%2F11cjnns_8t!19sChIJtaK6wWC4yhQRJo5jLgo6m0A?authuser=0&hl=tr&rclk=1
İDEA Kadıköy,"Caferağa, Küçükmoda Burnu Sk Kadıköy Bld. Sosyal Tesisleri No:4, 34710 Kadıköy/İstanbul",(0216) 330 79 73,idea@kadikoy.bel.tr,http://www.ideakadikoy.org/,https://www.google.com/maps/place/%C4%B0DEA+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab88a0fc00001:0xc867e72c146d60e1!8m2!3d40.9800806!4d29.0279083!16s%2Fg%2F11g8tjvmnp!19sChIJAQDAD4q4yhQR4WBtFCznZ8g?authuser=0&hl=tr&rclk=1
Polka Kafe,"Caferağa Mahallesi, No:, Caferağa, Zuhal Sk. No:19, 34710 Kadıköy/İstanbul",,,N/A,https://www.google.com/maps/place/Polka+Kafe/data=!4m7!3m6!1s0x14cab8673e75ea47:0x44206831b4acfbcf!8m2!3d40.9874457!4d29.0244929!16s%2Fg%2F11clhq8wp6!19sChIJR-p1Pme4yhQRz_ustDFoIEQ?authuser=0&hl=tr&rclk=1
Safran Restaurant,"Osmanağa, Osmancık Sk. No:14-16/A, 34714 Kadıköy/İstanbul",(0216) 337 91 58,,http://www.safranmeyhane.com/,https://www.google.com/maps/place/Safran+Restaurant/data=!4m7!3m6!1s0x14cab866028576db:0x9af356bd37b564bb!8m2!3d40.9899547!4d29.0278206!16s%2Fg%2F11dz47jty4!19sChIJ23aFAma4yhQRu2S1N71W85o?authuser=0&hl=tr&rclk=1
KADIKÖY ŞELALE RESTAURANT,"Caferağa, Güneşli Bahçe Sok, 34710 Kadıköy/İstanbul",(0216) 330 44 20,,N/A,https://www.google.com/maps/place/KADIK%C3%96Y+%C5%9EELALE+RESTAURANT/data=!4m7!3m6!1s0x14cab867bc04e0d5:0xf83fa15acd31a777!8m2!3d40.9889903!4d29.024002!16s%2Fg%2F1tdj7blf!19sChIJ1eAEvGe4yhQRd6cxzVqhP_g?authuser=0&hl=tr&rclk=1
Benusen Meyhane,"Caferağa, Neşet Ömer Sk. NO :18 D:20, 34710 Kadıköy/İstanbul",0530 494 56 36,,N/A,https://www.google.com/maps/place/Benusen+Meyhane/data=!4m7!3m6!1s0x14cab953ad1731ad:0x9f766f9cc54f10f3!8m2!3d40.9895483!4d29.0224171!16s%2Fg%2F1thnf6nx!19sChIJrTEXrVO5yhQR8xBPxZxvdp8?authuser=0&hl=tr&rclk=1
Tosbağa Cafe,"Osmanağa, Ali Suavi Sk. No:40, 34714 Kadıköy/İstanbul",(0216) 330 03 07,,https://tosbagacafe.com/,https://www.google.com/maps/place/Tosba%C4%9Fa+Cafe/data=!4m7!3m6!1s0x14cab86585d02521:0x5196ca56660d2791!8m2!3d40.9889949!4d29.0306296!16s%2Fg%2F1ptw3_p59!19sChIJISXQhWW4yhQRkScNZlbKllE?authuser=0&hl=tr&rclk=1
Tarihi Tencere Köftecisi İstanbul Kadıköy Halitağa,"Şadırvan Apartmanı, Osmanağa, Halitağa Cd. A Blok Dükkan No:1, 34714 Kadıköy/İstanbul",,,https://tarihitencerekoftecisi.com/,https://www.google.com/maps/place/Tarihi+Tencere+K%C3%B6ftecisi+%C4%B0stanbul+Kad%C4%B1k%C3%B6y+Halita%C4%9Fa/data=!4m7!3m6!1s0x14cad3861c426893:0xabd6f63c1999e732!8m2!3d40.9922169!4d29.0291246!16s%2Fg%2F11ww98079w!19sChIJk2hCHIbTyhQRMueZGTz21qs?authuser=0&hl=tr&rclk=1
Moloko coffee kadikoy,"Osmanağa, Arayıcıbaşı Sk. No:23 D:25, 34375 Kadıköy/İstanbul",0532 158 42 18,,N/A,https://www.google.com/maps/place/Moloko+coffee+kadikoy/data=!4m7!3m6!1s0x14cab98deb1ecfe9:0xb5f917033569c04f!8m2!3d40.9889691!4d29.0272459!16s%2Fg%2F11s9kf4k9h!19sChIJ6c8e6425yhQRT8BpNQMX-bU?authuser=0&hl=tr&rclk=1
Asırlık Balık Restaurant,"Caferağa, Güneşli Bahçe Sok 34/A, 34710 Kadıköy/İstanbul",(0216) 347 37 37,,http://www.asirlikkadikoy.com/,https://www.google.com/maps/place/As%C4%B1rl%C4%B1k+Bal%C4%B1k+Restaurant/data=!4m7!3m6!1s0x14cab869b27b3207:0x16054be8e32925ae!8m2!3d40.9893643!4d29.0242514!16s%2Fg%2F1v1n_706!19sChIJBzJ7smm4yhQRriUp4-hLBRY?authuser=0&hl=tr&rclk=1
11Kadıköy,"Caferağa, Arayıcıbaşı Sk. No:11, 34710 Kadıköy/İstanbul",0539 929 37 11,,https://11kadikoy.com/,https://www.google.com/maps/place/11Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab9ecac5c5c1b:0xfdd92c959c7ddd9f!8m2!3d40.9880871!4d29.0269302!16s%2Fg%2F11fmbkk9wh!19sChIJG1xcrOy5yhQRn919nJUs2f0?authuser=0&hl=tr&rclk=1
