İsim,Adres,Telefon,E-posta
sultan's kitchen,,,
Namlı Kebap,,,
Salon Cafe,,,
Akademi Lezzet,,,
İmer Cafe,,,
Rasathane Kebap,,,
Hazal Esen Bahçe ,,,
Saraykapı Sac Tava,,,
Limma,,,
Çiftlik Restoran,,,
Konya Ovalı Mutfağı,,,
Hacı Sayid Baklava Pasta Restaurant,,,
Köfteci Ramiz,,,
HD İskender,,,
Edirne Kırkpınar Lokantası,,,
Köşebaşı,,,
Osmanlı Kebap,,,
Yenice,,,
Hatay Medeniyetler Sofrasi,,,
Suna'nın Yeri,Kandilli İskele Caddesi,+90 0216 332 32 41,
Gözdağı Sosyal Tesisleri,Gözdağı Caddesi,+90 216 444 10 34,
Asmakat,,,
My Chef,,,
Fries Dinosaurs,,,
Rosa,,,
Köyüm Pidecisi,Moda Caddesi,,
Viktor Levi Şarap Evi,,,
Havelka,,,
Khalkedon Kalamış,,,
Chicken Last Stop,,,
Köfteci Ramiz,,,
Ekspres İnegöl Köftecisi,Muvakkıthane Caddesi,,
Şelale,,,
Törek,,,
Zevk Lokanta,,,
Pehlivan,,,
Casa di Moda,,,
Kilimli Tesisleri Restaurant Cafe Beach,,,
Cigeristan,,,
Şölen,,,
Happy Moon's Kadıköy,,,
SushiCo Suadiye,,,
Çınaraltı Mangalbaşı,,,
Belvü Jardin Restaurant,,,
Mola Ev Yemekleri,,,
Seyhmuz Kebap,Atik Alipasa Sokak,,
Otto Cihangir,,0212 293 96 17,
Kuğu Pastanesi,,,
Kalbur,,,
E Balik,,,
Ziya Şark Sofrası,,,
Ziya Şark Sofrası,,,
Hasan Usta,,,
Orman Cafe & Restaurant,,,
Damak İskender Kebapçısı,,,
Hanlı Mutfak,,,
Kudeta Chinese & Sushi,,,
Cafe Garage,,,
5. Kat,,,
Sa Va Anatolian Breakfast House,Bakraç Sokağı,,
Hayvore,,,
Nakka Bistro,,,
Farika Döner,,,
Escape,,,
Lucas Si,,,
Yaprak Tantuni,,,
Köz Kebap,,,
Adanalı,,,
Dogaciyiz.com gourmet şarküteri,Kasatura Sokağı,+90212 243 8190,
Captain,,,
Cafe Levent,,,
1972 Çevre Pasta Cafe Restaurant,,,
on1 Bistro,,,
Sefik,,,
Capital,,,
Yücel simit,,,
Sehr-i Simit,,,
Arka Bahcemiz,,,
ANTEB Kebab & Pizza,,0212 514 16 47,
Ulus 29,Ahmet Adnan Saygun Caddesi,+90 212 358 29 29,rezervasyon.29@ulus29.com
The House Cafe,,,
Iskele,,,
Angel Blue,,,
Aquarius,,,
Dolphin,,,
Super Yedigün,Kavak İskele Cadessi,+90 (0212) 271 0084,
Küçük Evim Ev Yemekleri,,,
Yemekhane,,,
Mio,,,
Lokma Kampüs,,,
Divan Sports Cafe,,,
W Cafe Brasserie;Nezih Kırtasiye,,,
Draft Gastropub,Acıbadem Caddesi,+90 216 3250051,
Çanak Kebap,,+90 (216) 325 22 34,
Giorgi,,,
ege rum meyhanesi cam ve ambalaj atık,,,
Can-u Can,,02128010202,
49 Çukurcuma,Turnacıbaşı Sokak,+902122490048,
Çınaraltı Cafe Çengelköy,Üsküdar,,
Labella Premium Topkapı,,,
Esmer Chef,Ankara caddesi,,
Remina,,,
SushiCo Kalamış,Münir Nürettin Selçuk Caddesi,,
Ekspres İnegöl Köftecisi,Bağdat Caddesi,,
Flamingo,,,
Pandeli,Misir Çarşısı,,
Bab-ı Hayat,,,
Çamlıca Cafe,,,
Siva Cafe Restaurant,,,
Paşazade Restaurant,Ibn-I-Kemal Caddesi,,
Med Cezir,,,
Sultan Köşesi,,,
istanbul enjoyer,,,
Seven Hills Restaurant,Tevkifhane Sokak,+90 212 516 94 99,info@sevenhillsrestaurant.com
Masal,,,
Palmiye,,,
Erzincanlı Ali Baba Restoran,,,
Barbecue House,,,
Erol,,,
Keyf-i Mekan,Tığcılar Sokak no.48,,
Mivan Restaurant Cafe,Emin Sinan,+902125179929,
Spectra Cafe,,,
New Season,,,
Little Havanna,,,
Ayasofya Kebab House,,,
Ensar Tatlicisi,,,
Serbethane Cafe & Restaurant,,,
İskenderun Kral Dürüm,,,
Gümüş Kanat,,,
Paşa Döner,,,
Kale Restaurant,,,
Dürüm Durak,,,
Güvenç Konyalı,,,
Pim Kitchen & Patisserie,,,
Alimento Balık,,,
Şehbender 14,,+90 212 292 06 67,
Fanfan,,,
Spectra Restaurant,Üçler sokak,,
tacita,,,
Güney,Kuledibi Şah Kapısı,+90 212249 03 93,
Big Chefs,,,
Nupera,,,
Galata Kiva,,,
Miss Pizza Şişhane,Meşrutiyet Caddesi,+90 212 251 3234,
Köşebaşı,,,
N10 Rest.,,,
Ismet Baba,Çarşı Caddesi,+90 216 553 12 32,
Van Kahvalti Muftaği,,,
Terrace 41,Turnacıbaşı Sokak,+90 0212 293 94 94,
Kör Agop,Asmalı Mescit Sokak,+90 212 249 51 33,
ÇC Lider Pide Tepeüstü Otoparklı Şube,Poyraz Caddesi,(0216) 526 63 61,
Hong Bin Lou,,,
Borsa Lokantası,,,
Tavanarası,,,
The House Cafe İstiklal,İstiklal Caddesi,+90 0212 251 7991,
By Ferro,Kadırga Limanı Caddesi,,
Sima Cafe,,+90 249 6060,
Cansın Restaurant,,,
Osmanlı Balıkçısı,,,
Ab-i Hayat,,,
No:19 Dining,Faik Paşa Caddesi,,
Güllüoğlu,,,
Milk Cafe,,,
Sazeli Restuarant,,,
Midpoint,,,
Armada Restaurant,İstiklal Caddesi,,
Mr Cook Cafe & Restaurant,,,
Kardesler Kebap & Cafe,,,
Parole,,,
Vera Restaurant Fish & Meat House,Sahne Sokak,,
robin's,,,
Le Safran Restaurant,,,
Ist Cafe,,,
M&N Cafe Brasserie,,,
Warung Nusantara,,,
Bayramoğlu Döner,,+90 216 413 00 45,
Birlik Kasap Steakpoint,,,
Dining Hall,,,
Kıyı Emniyeti Tesisi,,,
Big Chefs,,,
Güler Restaurant,,,
Sultan Saray,,,
Paşa Döner,,,
An-gu-ye Büfe,,,
Antep Kebab,,,
Kofteci Ramiz,,,
Beltaş Cafe and Restaurant,,,
Sorriso Restaurant,,,
Son Osmanli Restaurant,,,
Sultan Ahmet Fish House,,,
Yarenler Restaurant,Ticarethane Sokak,,
Saray Döner İskender ve Et Lokantası,,,
Figaro's,,,
Salve,,,
Akdeniz Hatay Sofrasi,,+902125313333,
Yeni Lokanta,Kumbaracı Yokuşu,,info@yenilokanta.com
Sarıhan,,,
Yare Meyhane,,,
Yakup 2,,,
Öz Suruç,,,
Limonlu bahçe,,,
Uzunlar Kebap,,,
Kadi Nimet Balıkçılık,Serasker Caddesi,,
Sur Cafe,,,
Aziyade Restaurant,İdris Köşkü Caddesi,,
Peymane,,,
Define Döner,,,
Cezbe Restaurant,,,
Lezzet Lokantası,,,
Tihame Köfte,,,
Mavi Melek,,,
Konsolos,,,
Gritti restaurant,,,
Cecconis,Meşrutiyet Caddesi,,
Aheste,,,
Baylo,,,
Duble Meze,Meşrutiyet Caddesi,,
Hublot Boutique Istanbul,İstinye Bayırı Cad. İstinyePark Alışveriş Merkezi,2123455665,
34 Restaurant,Taşkışla Caddesi,+90 (212) 368 11 78,
Kehribar,,,
Balkon,,,
Butcha Steakhouse & Marly,Büyükdere Caddesi,+902129390191,
Met-et Döner,,,
Kalpazankaya Restaurant,Kalpazankaya Yolu,+902163811111,info@kalpazankaya.com.tr
Bodrum Mantı,,,
Et Ekmek Salça,,,
Pizzeria Ulus,,,
China Big Box & Sushi,,,
Kösteci Şaban Usta,,,
Maydanoz Kebap,,,
Balık Lounge,,,
CookShop,,,
ZerafEt,,,
Adanalı Hasan Kolcuoğlu,,,
مطعم المدينة بوراك,,,
Namlı Kebap,,,
Nisp-Et,,,
Set Kebap,,,
Tatlıses Kebap,,,
Köfteci Ramiz,,,
Konak Restaurant,,,
Pizza Hut,,,
Şirvan Kebap,,,
Köfteci Ramiz,,,
HD İskender,,,
Osman Ev Yemekleri,,,
My Ora Cafe,,,
Median,,,
Sultanahmet Köftecisi,Mustafa Mazharbey Sokağı,+902163609030,
Pinhan Cafe & Restaurant,Turgut Özal Bulvarı,,
Kanatçı Birtat,,,
Maromi,,,
Öz Konyali,,,
Fındık Kabuğu Restoran,,,
Beltur Restoran,,,
AGORA Meyhanesi 1890,Mürselpaşa Cad.,,
Paps,,,
Balıkçı Sabahattin,Şehit Hasan Kuyu Sokak,,
Kırçiçeği,,,
Golden Kebap,,,
Konyali,,,
Yemen 2 Ocakbasi,,,
Cengelköy Börekcisi,,,
Kumrucu Doyum,Dereboyu Caddesi,02122600398,
Adnan'in In Yeri,,,
Meshur Bursa Negolkoftelisi,,,
Morello Cafe,Egemen Sokak,02163487852,rezzanbirol@gmail.com
Constantine's Ark,Ibn-I-Kemal Caddesi,+90 212 522 34 21,
Arch Bistro,Kadırga Limanı Caddesi,,
Pizzeria Pera,Gonül Sokağı,,
Cihangir Lokantasi,,,
Cihangir Balik,,,
Çilingoz Tabiat Parkı Restoranı,,,
Nazar Profiterol,Kurtuluş Caddesi,02122252746,
Mikla - Turkey fusion ,Meşrutiyet Caddesi,(0212)2935656,
Sinop Mantı,Sinanpaşa Köprüsü Sokağı,,
Babylon Bomonti,Birahane Sokak,,
Dürümcü Emmi,Osmanaga Mah. Mahmut Baba Cad.,,
Öz Kilis Lahmacun ve Kebap,Bedrettin Simavi Sokağı,+902125234457,
Fatih Sarmacısı,Aslanhane Sokak,,
Nola,Galata Kulesi Sokağı,,
Akaya ,,,
Tria Elegans,,,
Paşa Döner,,,
Binbir Tadım Döner,,,
Fua,,,
Kebapçı Çetin Usta,,,
Mersin Tantuni,Mareşal Fevzi Çakmak 3. Sk.,,
Sakli bahçe et,,,
Sohbet Aile Çay Bahçesi,,,
Kalyon,,,
Köroğlu Pide,,,
Mavi Sandal Balikcisi,,,
VILLA ADALAR,,05334532248,villaadalar@gmail.com
Pidepark,Ihlamurdere Caddesi,02122583031,
Tamara,,,
Hungry Ghost,,,
Manastir Balik,Cafer Bey Sokagi,,
,,,pudding@puddingshop.com
Chinese & Sushi Express,,,
,14 sk.,,
Başakşehir Sosyal Tesisleri,,,
Kebapçı Çetin Usta,,,
Hacıbeyim Kebap,,,
Fatel,Itri Dede Sokağı,,
Komşu,,,
Nane Gastropub,Itri Dede Sokağı,,
Fit House sağlıklı yemek,,,
Cadde,,,
Marina,,,
DENİZ,,,
Eski Yemekhane,,,
Mano Burger,İskele Sokak,,
Nizam Pide,,+90 212 241 10 34,
Konyalım Etli Ekmek,,,
Tavacı Recep Usta,,,
Nalia Karadeniz Mutfağı,Prof. Dr. Ali Nihat Tarlan Caddesi,,
Tadim Bufe,,2434953,
Karadeniz,,,
Fatih Belediyesi,,,
Tatar Salim,,,
Beyaz Fırın Ataşehir,,,
Fauna,Ahmet Muhip Dranas Sokak,,
Big Chefs,,,
Aras (scam place),,,
Aruna Cafe & Restaurant,,,
Pepo,,,
Karadeniz pideci,,,
Falafel & Humus,,,
Antiochia,,,
Helvacızade,,,
Çağrı Karadeniz Kebap & Pide Salonu,,02122523797,
Raıf üsta,,,
22 Restorant Bar,Cihangir Caddesi,,
Bağlar Kebab,,,
,Dildar sok,02164345865,iletisim@piknikyeri.com
Kasap Osman,,,
BELTUR Sarı köşk restorant,,,
Efendim Fasıl Rest.,,,
Piknik kofte,İstiklal Caddesi,,
Nato Lokantası,,,
Taş fırın Ekmek,,,
Taksim Bahçivan,Süslü Saksı Sk.,,
Develi Restaurant,,,
Marmara Et,,02165610046,
Yusuf Ustanın Yeri,Turşucu Deresi Sokak,,
Tatmix,,,
İBB Safa Tepesi Sosyal Tesisleri,Lale Sokak,4441034,
Nur Abla Restoran,,,
Saruhan İşkembe Salonu,,,
مطعم كبابجي منطقة  اتيلر,,,
مطعم The Gounmand في غالاتا,,,
Yörem Cağ Kebap,Cumhuriyet Caddesi,,
Esaslı Şef Meşhur Kuru Fasulye,Cumhuriyet Caddesi,,
Köfteci Odabaşlar,Cumhuriyet Caddesi,,
Van Kahvaltı Sofrası,Yasemin Sk.,,
Kürekçiler Yemek Evi,,,
Çamlık Pide,,,
Çeltik Kebap Lahmacun,,,
Anteplioğlu Baklavaları,,,
Öz Anadolu Et Lokantası,,,
Domino Pizza,,,
Duru Balık,,,
Anıl Cafe Börek,,,
Kokoreçci Şükrü Usta,,,
Hacı Sayid Restaurant,,,
Aska Döner,,,
Urfalı Kebabçım,,,
Atmacalar Unlu Mamüller,,,
Sushi & Spice,Şair Nedim Caddesi,+90 534 608 33 83,
Hacı Abdullah Saray Mutfağı,,,
مطعم  sultan sofrasi  ششلي,,,
Oba Restaurant,,,
NUSR ET STEAKHOUSE,,,
,Valikonağı Caddesi,0212 291 58 25,info@gurkansefsteakhouse.com
şark kebap salonu,,,
Naz Balık,Mimar Sinan Caddesi,,
Güneş Patso,Mimar Sinan Caddesi,+90 216 641 23 48,
Sütiş Abdullah Ağa Yalısı,,,
Tahin,,,
Karadeniz Pidecisi Macit Usta,,,
Keyif restoran,,,
Çukur Ova Dürümcü,,,
Zeki Döner,,,
Narin,,,
İBB Dragos Sosyal Tesisleri,,,
Komagene Çiğköfte,Mimar Sinan Caddesi,,
As İskender,,366 09 37,
Süreyya Lokantası,,,
Selanik Rodop Köfte,Yeni Fidan Sokak,,
Tosunoğlu Kebab,,,
Bursa Kebab Evi,,,
Adress Döner & Kumpir,,,
Şampiyon Kokoreç,,,
Tatlıses Çiğ Köfte,,,
Alioğlu Bursa İskender,,,
Çiğ Köftem,,,
Aşiyan İşkembe,,,
Kebapçı Çetin Usta,,,
Emektar Börek,,,
Oba Mangal,,,
Ünal Kebap Lahmacun,,,
Yörem Karadeniz Pidecisi,,,
Gaziantepli Ökkeş Usta,,,
Karadeniz Yemek Salonu,,,
Ali Kolcuoğlu Kebap,,,
Çatak Et Mangal,,,
Ada Lezzet Lokantası,,,
Vedat Narin İşkembe Kokoreç,,,
Has Çiğ Köfte,,,
Samsun Pide Evi,Şemsettin Günaltay Caddesi,,
,Çırağan Caddesi,0212 227 07 37,
Görkem Kilis Sofrası,,,
Kaplan Kebap,,,
Alişan Usta,,,
Kolcuoğlu,,,
İsmet Bey Çiftliği,,,
BALIKÇI SİNAN,,,
Cadde Dürüm,,,
Pilavcı,,,
Avliya Boşnak Mutfağı,Avasköy Yolu Caddesi,+90 212 437 3797,
Duru Mangalevi,,,
Ev Yemekçisi,,,
Baydöner,,,
BİZİM DÖNER,Koşuyolu Caddesi,,
KOŞUYOLU DALYAN,Kalfa Çeşmesi Sokak,,
Ustaca Kebap,Koşuyolu Caddesi,,
Olivia's Pizzeria,Bağdat Caddesi,02163552438,
Wagamama,,,
sushico,,,
BigChefs,,,
bilakis,,,
Kale Pide ve Lahmacun,,,
Yöre Gözleme,,,
Hacı Baba Pide,,,
Pide Börek,,,
Eşiyok Köfte,,,
Gülseren Ev Yemekleri,,,
Intiba,,,
Marmaris Büfe Şaşkınbakkal,Kazım Özalp Sokağı,,
köfteci irfan,,,
sehil,Fatih Sultan Mehmet Cd.,,
Nokta Kebap,Fatih Sultan Mehmet Cd.,,
paşa döner,,,
közde kebap,,,
tomak döner,Fatih Sultan Mehmet Cd.,,
gade,Fatih Sultan Mehmet Cd.,,
sait efendi,,,
paşa sofrası,,,
Sisore,,,
ziya şarküteri,,,
İntiba Döner,Cumhuriyet Caddesi,,
Batı Garden Cafe&Restoran,,,
Taksim Pide,,,
Dilek,,,
Güneydoğu Sofrası,,,
Vegan Istanbul,Türkgücü Caddesi,,
Konak Kebap,İncirli Caddesi,,
Kırçiçeği,,0212 466 26 52,
Dönerci,,,
Bursa İskender,,,
Meat Co Steak House,,,
,Yeni Yuva Sk.,,
Sahil Mercan Balik,,02165172710,
Yako Ocakbaşı,Fener Kalamış Caddesi,,
Develi kebap,,,
Adana Sofrasi,,,
Serggea resturant,,,
Planet Bilardo,,,
Kehribar Restaurant,,,
pide keyfi,,,
angel,,,
sultan ahmet köftecisi,,,
Nalia,,,
Yemek Kulübü,,,
Nabu Karakoy,Murakip Sokak,,
Saray Muhallebicis,Reşadiye caddesi,,
Eylül Cafe and Restaurant,Şehit Muhtar Bey Caddesi,,
Hasır Ev Yemekleri,,,
Esmer,,,
Dilruba,,,
,Muallim Naci Caddesi,+902122655063,info@parkfora.com
Kristal Ocakbaşı,Eşref Efendi Sokak,+90 2122243969,
Deniz Park,Köybaşı Caddesi,+90 2122620415,
Hanedan Et,,,
Bysteak,Doğanevler Caddesi,+90 05322961178,
Gram,Ecza Sokak,+90 0 212 353 05 12,
Cafe Cambridge,,,
,Sehit Muhtar,,
Tarihi Sultanahmet Köftecisi Selim Usta,,,info@sultanahmetkoftesi.com
Arnavutköy Balıkçısı,Bebek Arnavutköy Caddesi,0212 257 05 25,
Bahar Country,,,
Uğrak Et Lokantası,,,
Juliet,,,
Cihannuma,Yerebatan Caddesi,,
Faros Restaurant,,,
Proti,,,
Karadeniz pide,,,
Pizzeria Il Pellicano,Keresteci Aziz Sokağı,02163382328,
Paul's Homemade Pasta & Lasagna,,,
Hanedan Kebap,,,
Pinsa,,,
Fornello Pizzeria,Serasker Caddesi,,
Sema Hanımın Yeri,,,
Nacioğlu,,,
Lezzet Co. Döner,,,
Fatih Kebap Salonu,,,
The Food Clan,,,
Ala Türk Mutfagi,Tavukçu Yolu Caddesi (Çakmak İstikameti),+902163648580,alaturkmutfagi@gmail.com
İmren,,,
Büfe,,,
Köfteci,,,
Bi'Buçuk,,+90 216 467 70 50,
Burrito Shop,Beyaz Akasya Sokak,,
Yeni Köşem Restaurant,,,
Zanaat,,,
Olea,,,
Onur Ev Yemekleri,,,
Garipçe Reis Balık,Çarşı Sokak,,
Sultan Sarniç Dügün & Davet Organizasyon,,,
Varuna Gezgin,Kumbaracı Yokuşu,+90 212 243 7107,
My House,,,
Set Balik,,,
Rika,,,
Şampiyon Kokoreç,Sahne Sk.,,
Mavi Sofra,,,
Bambi Cafe,,,
Alaçatı Muhallebicisi,,02125420044,
Özsüt,,,
Konya Mevlana,,,
Bodos Karadeniz Lokantası,,,
Bakırköy İskender,,,
Akin Balık,,,
Old Ottoman Cafe & Restaurant,Cagaloğlu Hamami Sokak,+90 212 514 55 00,
Sokak Kahvesi,,,
me gusta,,,
Bilice Kebap,,,
Yücetepe Kır Gazinosu,,,
DoyDoy Restaurant,Şifa Hamamı Sokak,,
Az Çok Thai,,,
Ali Baba,,,
Hasciġer,,,
Çorba kebap,,,
Mediva,,,
Happy Moon's,,02125595953,
Asirlik Kebap,,,
Çolakoğlu Simit,Gülbahar Caddesi,,
Cookshop,Şehir Parkı Caddesi,,
John Ross,,,
Sevinc cay evi,,,
Felinta,,,
İstanbul Emniyet Müdürlüğü Polis Evi Ortaköy Sosyal Tesisleri,Portakal Yokuşu,+902122589730,
Glutensiz Ada,,,
Midpoint,,,
Askoroz Balikcisi,,,
Boon Cafe & Restaurant,,,
Yali Mangal,,,
Foça Balık Restaurant,,+90 216 577 86 86,
Palet Kebap,,,
Liberta Teras,,,
İzmir Balıkçısı,,,
Dus bahcesi,,,
Doy Doy Restaurant,,,
Kübban Gaziantep Mutfağı,,,
2017,,,
Konya Mevlana,Elvan Sokak,02124417559,
Tarihi İskender Kebapçısı,Feritselimpaşa Caddesi,02126442624,
Ewan Restaurant,Muratpaşa Sokak,,
Sallora Restaurant,Vatan Caddesi,,
Aksaray Restaurant,Vatan Caddesi,,
Van Restaurant,Vatan Caddesi,,
Izgara Evi Restuarant,Turgut Özel Millet Caddesi,,
Osmanli Konagi Restuarant,Turgut Özel Millet Caddesi,,
Lunchbox,Şehir Parkı Caddesi,,
Domino Cafe,Vodina Caddesi,02125334300,
Samsun Restaurant,,,
Müdavim lokantası,,,
Tarihi Kalkanoğlu Pilavcısı,,,
Fateh Alhayr resturant,Turgut Özal Millet caddesi,,
yemen resturant,Turgut Özal Millet caddesi,05059999333,
Sallouraoğlu halep sofrası,Turgut Özal Millet caddesi,,
Şam şerif tatlası,Turgut Özal Millet caddesi,,
zirwe sultan resturant,Turgut Özal Millet caddesi,05558886667,
Allüş cafe,Turgut Özal Millet caddesi,05343824972,
Alnabelsi resturant,Turgut Özal Millet caddesi,05345893463,
Alqubtan resturants,Turgut Özal Millet caddesi,05061211745,
Layale Şamiye,Turgut Özal Millet caddesi,02125322953,
Tarbuş Mutfağı,Turgut Özal Millet caddesi,,
Mahrusi resturant,Turgut Özal Millet caddesi,,
Elefendi resturant,Turgut Özal Millet caddesi,05373735757,
Zeyr ve Zater,Turgut Özal Millet caddesi,,
مطعم مندي,Turgut Özal Millet caddesi,05393035583,
Anas chicken,Turgut Özal Millet caddesi,02122449999,
Sercıya ıstasyonu,Turgut Özal Millet caddesi,,
Musul Mutfağı,Turgut Özal Millet caddesi,02126210883,
Salloraoğlu tatlısı,Horhor caddesi,,
Urfa kebap sarayı,Sofular caddesi,02125231368,
Halil ibrahim şark sofrası,Sofular caddesi,,
zarzor iraqlı lokantası,Ragıp Bey sokak,,
Acıktım dürüm evi,Horhor caddesi,02125244832,
Hatay medeniyetler sofrası,Horhor caddesi,02125233131,
Kardeşler lokantası,Simitçi Sakir sokak,02125239894,
Ciğer sarayı,Simitçi Sakir sokak,02126212122,
ciğeristan,Simitçi Sakir sokak,05340575151,
Urfalı hacı usta,Simitçi Sakir sokak,02125344340,
taç kebap,Simitçi Şakir Sokak,02125232644,
sanliurfa zaman ciger ve kebap salonu,Simitçi Sakir sokak,02125212206,
Gaza Vattan Felafel,Ahmediye caddesi,,
Anadolu Büfe,Hissedar sokak,,
Halep restaurant,Ahmediye caddesi,,
Urfa zaman ciğer ve kebep,Ahmediye Caddesi,,
Pilavcı Kardeşler,Ahmediye caddesi,,
Akdeniz Hatay Sofrası,Ahmediye caddesi,4447247,
Yesilkir pide bank,Kuyulu bakkal sokagi,02126796780,
Kule köfte,Narlikapi �esmesi sokagi,05376916774,
Buryan Kebap Ve Izgara Salonu,Imam Asir Sokak,02125867703,
Çara Döner,,,
Evim Iskender Kebap,Bezmialem Vakıf Üni Caddesi,02125249675,
Asmaaltı Dürümc,Bezmialem Vakıf Üni Caddesi,,
Şükrüoğlu Restaurant,Muratpaşa sokak,,
Bizim Durum kebap Salonu,Molla Gürani caddesi,02125315957,
Dürümcü Haşim Usta,Softa Sinan Sokak,02125346452,
Kasem Abu Alkas Lokantası,Softa Sinan Sokak,,
Sit Elşam Pasta,Muratpaşa sokak,02125230263,
Saniyora Tatlası,Vatan caddesi,,
Çitir Lahmacun,Vatan caddesi,,
Deniz Ürünleri restoranı,Vatan caddesi,,
Taehan Uygur Restoranı,Vatan caddesi,02126214081,
Pilavci Resat,Vatan caddesi,021253224429,
Razzak resturan,Vatan caddesi,05388593855,
Bereket Döner,Macar kardeşler Caddesi,02126319997,
Pihlivan Lokantası,Macar kardeşler Caddesi,02126210062,
Sultan Resturant,Turgut Özal Millet Caddesi,,
Aksaray Börek,Şekerci Sokak,05300624786,
63 Metro Pide,Şekerci Sokak,,
Paçacı Hasan,Şekerci Sokak,02125316566,
Nergis Saray,Şekerci Sokak,02125341920,
Yücel Unlu Mamulleri,Salih Paşa Caddesi,,
Salihpaşa Börek Fırını,Salih Paşa Caddesi,,
Şafak Et Lokantası,Salih Paşa Caddesi,,
Meşhur Unkapanı Pilavcısı,Elvanzade Cami sokak,,
Jing ya Tang Restaurant,Zeyrek Mehmet Paşa Sokak,,
Meşhur Unkapanı Pilavcısı,Atatürk Boulevard,,
Zeyrek Cafe Restaurant,Atatürk Boulevard,,
Kumpir ve Waffle,Abdülezelpaşa Caddesi,,
Osman Oglu Kebap,Abdülezelpaşa Caddesi,,
Sur Balık,Abdülezelpaşa Caddesi,,
Cibalikapı Balıkçısı Haliç,Abdülezelpaşa Caddesi,,
Umut ev yemekleri,Nalıncı Kasım Sokak,,
Balaturca,Kadir Has Caddesi,,
Öz Dürüm,Üsküplü Caddesi,,
Meşhur Sarıyer börekçisi,Miralay Nazımbey Caddesi,,
Balcafe ve Restaurant,Abdülezelpaşa Caddesi,,
Karagöz Zorba,Abdülezelpaşa Caddesi,,
Cibali Vasilis Balıkçısı,Abdülezelpaşa Caddesi,,
Meyhani,Abdülezelpaşa Caddesi,,
Perispri,Abdülezelpaşa Caddesi,,
Uğur Pastaneleri,Karadeniz Caddesi,,
Bahçivan Fırını,Karadeniz Caddesi,,
Günbilir balık lokantası,Eski kulluk sokağı,(0212) 529 26 45,
Engin Pastanesi,Hacı evhaddin caddesi,(0212) 589 70 72,
Sur Pide ve Lavaş Lahmacun Salonu,Hacı evhaddin caddesi,(0212) 632 65 31,
Mevlana kasap ızgara salonu,Merhaba caddesi,(0212) 633 30 20,
Rize Odun Ekmeği,Vakıf Mektebi Sokak,,
Gökkuşağı Meze Ve Ev Yemekler,Haraççıbaşı Sokak,,
Hasan Usta,Küçük Mustafa Paşa Caddesi,,
Yilmazlar Lokantasi,Kara Sarıklı Sokak,,
Aşkın Restoran,Kara Sarıklı Sokak,,
Kömür Lokantası,Müstantik Caddesi,,
Tarihi Börek,Müstantik Caddesi,,
Öz Mostar,Müstantik Caddesi,,
Köfteci Ömer Usta,Müstantik Caddesi,,
Ensar Aile Börek Salonu,Aşık Paşa Sokak,,
Yedikule kebap pilavcı,Yedikule Caddesi,,
Safir Köfte,Yedikule Caddesi,02125886727,
