İsim,Adres,Telefon,E-posta
Konyalılar Etli Ekmek,Şemsettin Günaltay Caddesi,Numara yok,E-posta yok
Hasan Usta,Ayşe Çavuş Caddesi,Numara yok,E-posta yok
Egenin İncisi,Şemsettin Günaltay Caddesi,Numara yok,E-posta yok
Yerinde Pide,Şemsettin Günaltay Caddesi,Numara yok,E-posta yok
Hacıbaşar,Şemsettin Günaltay Caddesi,Numara yok,E-posta yok
Hababam Köfte,Ayşe Çavuş Caddesi,Numara yok,E-posta yok
Patlıcan Cafe & Ev Yemekleri,Sinan Ercan Caddesi,Numara yok,E-posta yok
fitty feed - clean eating,Yeşilbahar Sokak,+90 216 350 14 50,E-posta yok
Kipos Balık,Adres yok,Numara yok,E-posta yok
Benusen Restoran,Neşet Ömer Sk,(0216) 338 84 18,E-posta yok
Bop Breakfast Of Pan,Adres yok,Numara yok,E-posta yok
Levent Pide & Börek Salonu,Adres yok,Numara yok,E-posta yok
Tonton Efendi,Adres yok,Numara yok,E-posta yok
Kadim İşkembe Salonu,Serasker Caddesi,Numara yok,E-posta yok
Balon Cafe,Adres yok,Numara yok,E-posta yok
Balıkçı Lokantası,Tayyareci Sami Sokağı,Numara yok,E-posta yok
Yeldeğirmeni Cafe,Adres yok,Numara yok,E-posta yok
Saca Ocakbaşı,Dr. Faruk Ayanoğlu Caddesi,Numara yok,E-posta yok
Çömçem,Dr. Faruk Ayanoğlu Caddesi,Numara yok,E-posta yok
Pate Manti,Mehmet Şevki Paşa Caddesi,Numara yok,E-posta yok
Tatlises Cig Köfte,Bahçelerarası Sokak,Numara yok,E-posta yok
Hira Ev Yemekleri,Katip Salih Sokağı,Numara yok,E-posta yok
Adana Öz Asmalı Kebap,Bağdat Caddesi,Numara yok,E-posta yok
Barış Büfe,Bağdat Caddesi,+90 216 358 41 02,E-posta yok
HD İskender,Adres yok,Numara yok,E-posta yok
valide,Adres yok,Numara yok,E-posta yok
Saray Muhallebicisi,Hacı Mehmet Sokak,Numara yok,E-posta yok
Nelipide,Bağdat Caddesi,Numara yok,E-posta yok
Morkoç,Bağdat Caddesi,Numara yok,E-posta yok
Köşebaşı,Bağdat Caddesi,Numara yok,E-posta yok
Cookshop,Bağdat Caddesi,Numara yok,E-posta yok
Mezze House,Yoğurtçubaşı Çıkmazı,Numara yok,E-posta yok
MYTHOS,Adres yok,Numara yok,E-posta yok
Raki & Balik Evi,Güneşli Bahçe Sokak,+90 216 450 15 64,E-posta yok
Balaturka,Adres yok,Numara yok,E-posta yok
Brasserie Noir,Öncü Sokak,Numara yok,E-posta yok
Ranchero Mexican Restaurant,Plaj Yolu Sokak,Numara yok,E-posta yok
Casita,Bağdat Caddesi,Numara yok,E-posta yok
Bafetto Caddebostan,Adres yok,Numara yok,E-posta yok
Dardenia,Adres yok,Numara yok,E-posta yok
Caddê İst'klal Döner,Adres yok,Numara yok,E-posta yok
OnurBalaban,Kaya Sultan Sokağı,+902164672368,info@onurbalaban.com
Sahan Kebap,Plaj Yolu Sokağı,Numara yok,E-posta yok
Caddebostan Meyhanesi,Caddebostan Plajyolu Sok,Numara yok,E-posta yok
Aida vino e Cucina,Ressam Şeref Akdik Sokak,Numara yok,E-posta yok
AKO Adapazarı Islama Köfte,Adres yok,Numara yok,E-posta yok
Kardeşim Kebap,Koşuyolu Caddesi,Numara yok,E-posta yok
Güneşin Sofrası,Ali Suavi Sokağı,+902164585351,merhaba@gunesinsofrasi.com
Kebapçı İskender,Adres yok,Numara yok,E-posta yok
Le-Pi,Serasker Caddesi,Numara yok,E-posta yok
İkizler Tekirdağ Köftecisi,Adres yok,Numara yok,E-posta yok
Bostancı Fasıl,Adres yok,Numara yok,E-posta yok
Simitçi İbo,Adres yok,+902163487221,E-posta yok
Baydöner,Adres yok,Numara yok,E-posta yok
Happy Moon's,Adres yok,Numara yok,E-posta yok
Saklı Köşk,Adres yok,Numara yok,E-posta yok
Kassab Köfte & Döner,Moda Caddesi,Numara yok,E-posta yok
Pizza il forno,Moda Caddesi,Numara yok,E-posta yok
Pizza Locale,Adres yok,Numara yok,E-posta yok
Meşhur Selanik Kuru Fasulyecisi,Adres yok,Numara yok,E-posta yok
Alpas Burger,Adres yok,Numara yok,E-posta yok
Dilo bar,Adres yok,Numara yok,E-posta yok
sotapi,Adres yok,Numara yok,E-posta yok
Köfteci Yusuf,Adres yok,Numara yok,E-posta yok
İrem'in Mutfağı,Adres yok,Numara yok,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
Danilo's Pizza,Adres yok,Numara yok,E-posta yok
Saki Balık,Adres yok,Numara yok,E-posta yok
Bilinmiyor,Adres yok,+90 216 450 5555,E-posta yok
Mercan Kokorec,Adres yok,Numara yok,E-posta yok
Kitchen 35,Adres yok,Numara yok,E-posta yok
Misina,Prof. Dr. Hulusi Behçet Caddesi,+90 216 350 00 90,E-posta yok
Mykonos Balık,Adres yok,Numara yok,E-posta yok
Rita Moda,Adres yok,Numara yok,E-posta yok
Fenerbahçe İşkembe Salonu,Adres yok,Numara yok,E-posta yok
Kızıltoprak Dürümcüsü,Şehir Kahya Sokağı,Numara yok,E-posta yok
Pizza Lazza,Kurbağalıdere Caddesi,Numara yok,E-posta yok
Acıbadem Sahra Kebap Ve Dürüm Evi,Acıbadem Caddesi,Numara yok,E-posta yok
Et-Inn Kebap&Steak,Uçar Sokağı,0216 301 29 29,E-posta yok
Bodrum Mantı & Cafe Şaşkınbakkal,Bağdat Caddesi,(0216) 408 10 98,E-posta yok
Jeni Falafel & Rolls,Adres yok,Numara yok,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
Nevince Ev Yemekleri,Adres yok,Numara yok,E-posta yok
Fatih Börekçisi,Adres yok,Numara yok,E-posta yok
İzol Börek,Adres yok,Numara yok,E-posta yok
Günaydın,Adres yok,Numara yok,E-posta yok
Gala Kokoreç,Adres yok,Numara yok,E-posta yok
Mecitin Antakya Mutfağı,Şemsettin Günaltay Caddesi,Numara yok,E-posta yok
Erenköy Sarıyer Börekçisi,Adres yok,Numara yok,E-posta yok
İrfan Usta Lahmacun,Adres yok,Numara yok,E-posta yok
Köfteci Yusuf,Adres yok,Numara yok,E-posta yok
Köşk Pide Lahmacun,Adres yok,Numara yok,E-posta yok
Mersinli Ciğerci Ahmet Usta,Adres yok,Numara yok,E-posta yok
Dönerci Hamdi Usta,Adres yok,Numara yok,E-posta yok
Akveren Makarna,Adres yok,Numara yok,E-posta yok
Ciğerci Hulusi,Adres yok,Numara yok,E-posta yok
Destan Halk Lokantası,Adres yok,Numara yok,E-posta yok
Hacıoğlu,Adres yok,Numara yok,E-posta yok
Kadıköy Merkez Börekçisi,Adres yok,Numara yok,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
Hacıbaşar Kebap,Adres yok,Numara yok,E-posta yok
Taner Börek,Adres yok,Numara yok,E-posta yok
Tarihi Kadıköy Dönercisi,Adres yok,Numara yok,E-posta yok
Konoha Susi,Adres yok,Numara yok,E-posta yok
Crumble Mantı Evi,Adres yok,Numara yok,E-posta yok
Erdal Şef,Adres yok,Numara yok,E-posta yok
Arka Bahce,Karakolhane Caddesi,Numara yok,E-posta yok
Emirzade,Adres yok,Numara yok,E-posta yok
Arsemia,Adres yok,Numara yok,E-posta yok
Damla Pide,Adres yok,+90 216 3482745,E-posta yok
Hasanpaşa Kurufasulyecisi,Adres yok,0534 799 27 03,E-posta yok
Güler Osmanlı Mutfağı,Adres yok,(0216) 348 22 45,E-posta yok
Çatana,Adres yok,Numara yok,E-posta yok
Welldone,Selim Ragıp Emeç Sokağı,Numara yok,E-posta yok
Eftalya Balık,Adres yok,Numara yok,E-posta yok
Lale Çorba Kokoreç,Adres yok,Numara yok,E-posta yok
Kozanlı Kebap,Sarı Kanarya Sokağı,Numara yok,E-posta yok
Arı Pide & Börek,Adres yok,Numara yok,E-posta yok
Köfteci Şükrü,Adres yok,Numara yok,E-posta yok
Tunç Balık,Adres yok,Numara yok,E-posta yok
Adadan Balık,Adres yok,Numara yok,E-posta yok
Evim Ocakbaşı,Adres yok,Numara yok,E-posta yok
Kuyubaşı Balıkçısı,Adres yok,Numara yok,E-posta yok
Köyüm Pide,Atatürk Caddesi,Numara yok,E-posta yok
Burak Iskender Kebab,Adres yok,Numara yok,E-posta yok
Müsaade Meyhane,Dumlupınar Sokağı,+905442047254,info@musaademeyhane.com
Dönerci Necip Usta,Adres yok,Numara yok,E-posta yok
Pilav Sarayı,Adres yok,Numara yok,E-posta yok
Çalakaşık,Adres yok,Numara yok,E-posta yok
Öz Sarıyer Börek ve Pide Salonu,Adres yok,Numara yok,E-posta yok
Saltbae,Adres yok,Numara yok,E-posta yok
Pilav House,Adres yok,Numara yok,E-posta yok
Ethem Efendi Kahvaltı,Ethem Efendi Caddesi,Numara yok,E-posta yok
Gaziantep Lahmacun Pide,Adres yok,Numara yok,E-posta yok
Keban Börek,Adres yok,Numara yok,E-posta yok
Öz Ciğerci Abe,Adres yok,Numara yok,E-posta yok
Dürümcü Bey,Adres yok,Numara yok,E-posta yok
Babuş Hatay Döner & Köfte,Adres yok,Numara yok,E-posta yok
Bazlama İstasyonu,Adres yok,Numara yok,E-posta yok
Mirzabey Beyran Paça Evi,Adres yok,Numara yok,E-posta yok
Fitçi House,Reşitefendi Sokağı,02163379710,E-posta yok
Taner Börek,Adres yok,Numara yok,E-posta yok
Seyithan İşkembe,Adres yok,Numara yok,E-posta yok
Pavlonya Meyhanesi,Adres yok,Numara yok,E-posta yok
Livane,Adres yok,Numara yok,E-posta yok
Cheef Moses,Adres yok,Numara yok,E-posta yok
Mesadin Restaurant,Misbah Muhayyeş Sokağı,Numara yok,E-posta yok
Borsam Tasfirin,Adres yok,Numara yok,E-posta yok
Duble Muhabbet,Adres yok,Numara yok,E-posta yok
Adana İşi,Adres yok,Numara yok,E-posta yok
Yakamoz Balıkçısı,Adres yok,Numara yok,E-posta yok
Çiğ Köfteci Gakgoş Usta,Adres yok,Numara yok,E-posta yok
Köfteci Yusuf,Adres yok,Numara yok,E-posta yok
Anadolu Huzur Lokantası,Adres yok,Numara yok,E-posta yok
Asirlik Balik,Adres yok,Numara yok,E-posta yok
Şimşek Döner,Adres yok,Numara yok,E-posta yok
Maharet Kebap Lahmacun,Adres yok,Numara yok,E-posta yok
Cennet Gözleme Evi,Adres yok,Numara yok,E-posta yok
Bilinmiyor,Karakolhane Caddesi,Numara yok,E-posta yok
Monsh,Adres yok,Numara yok,E-posta yok
Hacıbey,Adres yok,Numara yok,E-posta yok
Schnitzel Landmann,Adres yok,Numara yok,E-posta yok
Ada Pide,Adres yok,Numara yok,E-posta yok
Fiççi House,Yavuztürk Sokağı,Numara yok,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
Meşhur Sarıyer Börekçisi,Adres yok,Numara yok,E-posta yok
Leylak,Adres yok,Numara yok,E-posta yok
crep Street Food,Adres yok,Numara yok,E-posta yok
Vatka Coffe & Vegan,İleri Sokağı,Numara yok,E-posta yok
+852 Hong Kong,Şevki Bey Sokağı,Numara yok,E-posta yok
Çiya Sofrası,Güneşlibahçe Sokağı,+902163303190,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
Turp,Adres yok,Numara yok,E-posta yok
Müjgan,Adres yok,Numara yok,E-posta yok
Daily Dana,Fener Kalamış Caddesi,+90 216 345 32 62,E-posta yok
Bülent Börekçilik,Şemsettin Günaltay Caddesi,Numara yok,E-posta yok
Healty & Happt Ekolojik Kitchen,Dr. İhsan Ünlüler Sokak,Numara yok,E-posta yok
Khalkedon Fenerbahçe,Fener Kalamış Caddesi,Numara yok,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
Suadiye Balık,Adres yok,Numara yok,E-posta yok
Rossi,Plaj Yolu Sokağı,+90 216 445 11 30,E-posta yok
Tike Suadiye,Plaj Yolu Sokağı,+90 216 380 5757,E-posta yok
The House Cafe,Plaj Yolu Sokağı,Numara yok,E-posta yok
Simit İnn,Şemsettin Günaltay Caddesi,Numara yok,E-posta yok
Wayana,Adres yok,Numara yok,E-posta yok
Tavuk Dünyası,Şemsettin Günaltay Caddesi,Numara yok,E-posta yok
Bafra Pide,Sarı Kanarya Sokağı,Numara yok,E-posta yok
Hacıbaşar,Adres yok,Numara yok,E-posta yok
Borsa Lokantası Caddebostan,Bağdat Caddesi,Numara yok,E-posta yok
Pizzorroo,Tütüncü Mehmet Efendi Caddesi,Numara yok,E-posta yok
Günaydın Kalamış,Münir Nürettin Selçuk Caddesi,+90 216 348 23 36,E-posta yok
Food House,Adres yok,Numara yok,E-posta yok
Köfteci Yusuf,Nişancı Sokağı,Numara yok,E-posta yok
BAP,Alpler Sokağı,Numara yok,E-posta yok
Midpoint,Bağdat Caddesi,Numara yok,E-posta yok
Meşhur Menemenci Cemal Polat,Adres yok,Numara yok,E-posta yok
Divan Pub Erenköy,Bağdat Caddesi,Numara yok,E-posta yok
Köfteci Yusuf Bostancı İskele,Çetin Emeç Bulvarı,Numara yok,E-posta yok
Günaydın Suadiye Kasap & Steakhouse,Adres yok,Numara yok,E-posta yok
Murat İskender,Hamam Sokağı,Numara yok,E-posta yok
Havva Hanım & Ballaturka,Şemsettin Günaltay Caddesi,Numara yok,E-posta yok
Hacı Ali Ocakbaşı,İnönü Caddesi,Numara yok,E-posta yok
Kimyon,Adres yok,Numara yok,E-posta yok
Marina Balık,Can Sokağı,+90 216 362 39 21,E-posta yok
Nezih Dokuz Ondokuz,Kazım Özalp Sokağı,Numara yok,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
Ethem Et & Adana Kebap,Ethem Efendi Caddesi,+90 216 514 8800,E-posta yok
Mila,Adres yok,Numara yok,E-posta yok
Şirin Lokanta,Adres yok,Numara yok,E-posta yok
Kümes Piliç,Adres yok,Numara yok,E-posta yok
Süttat,Dr. Faruk Ayanoğlu Caddesi,Numara yok,E-posta yok
Cookshop,Bağdat Caddesi,Numara yok,E-posta yok
Anne Meze,Kaşaneler Sokağı,Numara yok,E-posta yok
Yeni Meyhane,Osmancık Sokağı,(0216) 345 79 38,E-posta yok
Strada Suadiye,Adres yok,Numara yok,E-posta yok
Sahan,Bağdat Caddesi,Numara yok,E-posta yok
Bebe İçli Köfte,Adres yok,Numara yok,E-posta yok
Şaşkınbalık,Adres yok,Numara yok,E-posta yok
Vefalı Köfteci,Bilim Sokağı,Numara yok,E-posta yok
Han Restoran,Bağdat Caddesi,Numara yok,E-posta yok
Antebi,Operatör Cemil Topuzlu Caddesi,Numara yok,E-posta yok
Artois Cadde,Haldun Taner Sokağı,Numara yok,E-posta yok
Beyoğlu Çorbacısı,Adres yok,Numara yok,E-posta yok
Çeşme Bazlama Kahvaltı,Noter Sokağı,Numara yok,E-posta yok
A.Ç.T DÜRÜM ve MEZE,Adres yok,Numara yok,E-posta yok
Rota,Adres yok,Numara yok,E-posta yok
Lahmacun Dükkani,Adres yok,Numara yok,E-posta yok
Voglia,Noter Sokağı,Numara yok,E-posta yok
Adam's Pizza,Mazhar Osman Sokağı,Numara yok,E-posta yok
Pizza Locale,Adres yok,Numara yok,E-posta yok
Köroğlu Yufka Mantı,Adres yok,Numara yok,E-posta yok
Kırıntı,Bağdat Caddesi,Numara yok,E-posta yok
Marmarisium büfe,Adres yok,Numara yok,E-posta yok
Pizza Hut,Şemsettin Günaltay Caddesi,Numara yok,E-posta yok
The Townhouse,Plaj Yolu Sokağı,Numara yok,E-posta yok
Murat Kebap,Ömerpaşa Sokağı,+90 216 360 2814,E-posta yok
Bilinmiyor,Ömerpaşa Sokağı,+90 216 3860101,E-posta yok
The Munch Street Food,Adres yok,Numara yok,E-posta yok
Metet Közde Döner,Adres yok,Numara yok,E-posta yok
Köşem Karadeniz Pide,Adres yok,Numara yok,E-posta yok
Tellioğlu Trabzon Pidecisi 1985,Bayar Caddesi,Numara yok,E-posta yok
Valibey Kebap & Künefe,Bayar Caddesi,Numara yok,E-posta yok
Pizz'ALL,Ayşe Çavuş Caddesi,Numara yok,E-posta yok
Ayvalık Fener Yolu Balıkçısı,Adres yok,Numara yok,E-posta yok
PizzaTeo,Kantarcı Rıza Sokağı,Numara yok,E-posta yok
Felek Mangalbaşı,Adres yok,Numara yok,E-posta yok
House of B,Bağdat Caddesi,Numara yok,E-posta yok
ayık çorba kebap,Dumlupınar Sokağı,Numara yok,E-posta yok
Çilingir Sofrası,Adres yok,Numara yok,E-posta yok
Verdura,Selim Ragıp Emeç Sokağı,Numara yok,E-posta yok
Cadde İst'klal,Halitağa Caddesi,Numara yok,E-posta yok
Koko Mustı Kelle Paça İşkembe,Şemsettin Günaltay Caddesi,Numara yok,E-posta yok
The Wall Suadiye,Adres yok,Numara yok,E-posta yok
Melopee Suadiye,Adres yok,Numara yok,E-posta yok
The Rua Suadiye,Ulus Sokağı,Numara yok,E-posta yok
Taner Börek,Kazım Özalp Sokağı,Numara yok,E-posta yok
Taner Börek,Bayar Caddesi,Numara yok,E-posta yok
Şevketin Yeri Samsun Pidesi & Mantı,Adres yok,Numara yok,E-posta yok
SOİ Cadde,Adres yok,Numara yok,E-posta yok
Palulu Cumali Adana Kebapçısı,Hoşgörü Sokağı,Numara yok,E-posta yok
Chinese & Sushi Express,Adres yok,Numara yok,E-posta yok
Bizim Ev Moda,Adres yok,Numara yok,E-posta yok
Direkli Köftecisi,Adres yok,Numara yok,E-posta yok
Gorgonzo,Adres yok,Numara yok,E-posta yok
2Bites,Adres yok,Numara yok,E-posta yok
Yıldız 3 Köfte Salonu,Adres yok,Numara yok,E-posta yok
Hardy's Burger,Adres yok,Numara yok,E-posta yok
Hayati Express,Adres yok,Numara yok,E-posta yok
Kadı Lokantasi,Adres yok,Numara yok,E-posta yok
Gönül Abla Ev Yemeklero,Adres yok,Numara yok,E-posta yok
Sinop Mantı Evi,Adres yok,Numara yok,E-posta yok
Emay’s Cuisine,Havacı Binbaşı Mehmet Sokağı,Numara yok,E-posta yok
Sliceguy,Adres yok,Numara yok,E-posta yok
Sakura Sushi Bar,Adres yok,Numara yok,E-posta yok
Fit House,Ogün Sokağı,Numara yok,E-posta yok
SALT Fried Chicken,Ogün Sokağı,Numara yok,E-posta yok
Palmiye Et Lokantası,Gazi Muhtarpaşa Sokağı,Numara yok,E-posta yok
Panzarotti,Adres yok,Numara yok,E-posta yok
Dönerci Mehmet Usta,Adres yok,Numara yok,E-posta yok
Zoo,Adres yok,Numara yok,E-posta yok
Payyar Ocakbaşı,Fener Kalamış Caddesi,Numara yok,E-posta yok
Homemade,Adres yok,Numara yok,E-posta yok
Metet Közde Döner,Operatör Cemil Topuzlu Caddesi,+90 216 2022010,E-posta yok
RUB,Adres yok,Numara yok,E-posta yok
Shake Shack,Adres yok,Numara yok,E-posta yok
Bilinmiyor,Nihal Sokağı,Numara yok,E-posta yok
İntiba Döner,Şehit Emin Çölen Sokağı,Numara yok,E-posta yok
Taner Börek,Recep Peker Caddesi,Numara yok,E-posta yok
Üsküp Köfte,Adres yok,Numara yok,E-posta yok
Oşifa Çiğköfte,Bağdat Caddesi,Numara yok,E-posta yok
Zürafa no 203,Bağdat Caddesi,Numara yok,E-posta yok
Sinop Mantı,Bağdat Caddesi,Numara yok,E-posta yok
Bedri Usta Çiftehavuzlar Pide & Lahmacun,Bağdat Caddesi,Numara yok,E-posta yok
Ethem Efendi Kahvaltı,Tütüncü Mehmet Efendi Caddesi,Numara yok,E-posta yok
Taner Börek,Tütüncü Mehmet Efendi Caddesi,Numara yok,E-posta yok
Bağdat Döner,Adres yok,Numara yok,E-posta yok
2'de 1 Köfte,Tütüncü Mehmet Efendi Caddesi,Numara yok,E-posta yok
THE WOKSHOP,Adres yok,905525751555,E-posta yok
Tatar Salim,Güneşlibahçe Sokağı,+902165505656,E-posta yok
Küff,Adres yok,Numara yok,E-posta yok
Bizim Balık Evi,Ethem Efendi Caddesi,Numara yok,E-posta yok
Spenta Pizza Restaurant & Cocktail Bar,Adres yok,Numara yok,E-posta yok
Nur Kebap Lahmacun Pide salonu,Adres yok,Numara yok,E-posta yok
Ali Ocakbaşı,Kazım Özalp Sokağı,Numara yok,E-posta yok
Ken Sushi,Kazım Özalp Sokağı,Numara yok,E-posta yok
Günaydın Şaşkınbakkal,Kazım Özalp Sokağı,Numara yok,E-posta yok
Cotto Gastro,Kazım Özalp Sokağı,Numara yok,E-posta yok
Lena Restaurant,Adres yok,Numara yok,E-posta yok
Nohut Falafe & Humus,Adres yok,Numara yok,E-posta yok
Yanyalı Fehmi Lokantası,Yağlıkçı İsmail Sokağı,Numara yok,E-posta yok
Çiya Kebap,Adres yok,+902163363013,E-posta yok
Hani,Beyaz Akasya Sokağı,Numara yok,E-posta yok
Nar Mantı & Cafe,Emin Ali Paşa Caddesi,Numara yok,E-posta yok
The gospel culture,Adres yok,Numara yok,E-posta yok
İş Bankası Kalamış Lokali,Sadberk Sokağı,Numara yok,E-posta yok
Bedri Usta Kalamış,Münir Nürettin Selçuk Caddesi,Numara yok,E-posta yok
Metet,Adres yok,Numara yok,E-posta yok
Levent Börek,Şakacı Sokağı,Numara yok,E-posta yok
Natur'el Bahçe,Şehit İlknur Keleş Sokağı,Numara yok,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
SushiCo,Akın Sokağı,Numara yok,E-posta yok
