İsim,Adres,Telefon
Yıldız Çatı Restaurant,Adres yok,Numara yok
Tony's Pizza,Adres yok,Numara yok
Bilinmiyor,Adres yok,Numara yok
Bilinmiyor,Adres yok,Numara yok
Fish house,Adres yok,Numara yok
Bilinmiyor,Adres yok,Numara yok
YGT Urfam Ocakbaşı,Adres yok,Numara yok
Çiftlik Döner,Adres yok,Numara yok
Arnavutköy Sosyal Tesisi,Bebek Arnavutköy Caddesi,444 1 034
Oligark İstanbul,Muallim Naci Caddesi,+90 212 265 65 12
Emirgan Sütiş,Bebek Arnavutköy Caddesi,+90 212 263 2543
Kuruçeşme Balık,Arnavutköy Kuruçeşme Caddesi,+90 212 263 4472
