İsim,Adres,Telefon,E-posta
Köfteci Nurettin,,,
Özay ASPAVA,,,
Ocakbaşı Meymenet,,,
Gazibey Baklava & Börek,,,
Lezzet Durağı,,,
Konyalı Lezzet Ustası,,,
Şahane,,,
Çoban Kokoreç Köfte,,,
Banabi Kebap,,,
MEG Yemek,,,
Bageni Restoran,,,
Akmeşe Izgara,,,
Halil Usta'nın Yeri,,,
Pak-Et Mersin Tantuni,,,
Neşem Izgara Salonu,,,
MutluEt,,,
Mis Kahvaltı,,,
Saklı Bahçe,,,
Mekan 41 Büfe ve Ev Yemekleri,,0545 217 41 53,
Arifoğlu Gaziantep Baklavacısı,,,
Özpaşa Sofrası,,,
Er&Bil Unlu Mamülleri,,,
Kışla Ciğer Kebap Salonu,,,
Konyalı Etli Ekmek & Fırın Kebap,,0262 331 28 01,
Köfteci Yücel,,,
Şeker Börek,,,
Saray Börekçisi,,,
Köfteci Cömert,,,
Tarihi Fethi Baba Lokantası,,,
Beytül Kebap,,,
Tunalı Sulu Yemek,,,
Seçkin İşkembe,,,
Mahmut Usta,,,
Masala Kebap,,,
Lezzet Börek ve Pide Salonu,,,
Meşhur Kavurmacı,,,
Asya Restaurant,,,
Gönül Sofrası,İstanbul Caddesi,,
Zakirbey Cağ Kebap,İstanbul Caddesi,,
Asel'in Mutfağı,629/1 Sk.,,
Pizzaland Cafe & Restaurant,,,
Göçmen Börekçisi,,,
Başoğlu Kebap,,0262 319 04 40,
Arırang Restaurant,,0262 319 49 49,
Karadeniz Pide Salonu,,0262 331 58 69,
Sokak Pilavcısı,,,
Sarıyer Börek,,0262 331 20 16,
Daichi Sushi,,,
Boşnak Börekçi,,,
Has Köfte,,,
Esin Kebap & Lahmacun,,0262 322 39 17,
Serde Börek,,,
Dayı'nın Yeri,,,
Tatlıses Lahmacun,,,
Özler Et,,,
Özer Lahmacun & Pide Salonu,,,
Özpolatlar,,,
Aktem Yemek Salonu,,,
Bizim Lokanta,,,
Doğalhane,,,
Ciğerci Bulut,Mutlukent Bulvarı,,
Safahat Lokantası,,,
İkizler Pide & Lahmacun,,0 535 736 08 64,
Palmiye Ev Yemekleri,,,
Köfteci Adam,,,
Ustam Pide & Lahmacun,,,
Ali Baba İskender,,,
Mehmet Usta,,,
Kısmetim,,,
Kordonboyu,,,
Bursa Kebap Evi,735. Sokak,+90 262 754 8116,info@bursakebapevi.com
Günaydın,735. Sokak,+90 262 754 0511,info@gunaydinet.com
Kitchenette,735. Sokak,,
Kapadokya Pide & Lahmacun,,,
Aslar Kebap,,,
Sofram Pide Bank,,,
İşgal Kebap,,,
Kaptan Kebap,,,
Ciğerci,,0262 311 22 44,
Fava,,,
Namık Usta,,,
Izgara Izgara,,,
Tavuk Dünyası,,,
Pizzaköy,,,
Antep Kale Kebap & Pide,,,
Cilve Yeni Nesil Meyhane,,,
Çiğköfteci Said,,,
Karaca Lokantası,,0501 007 60 41,
Hacıbey Restorant,Hükümet Caddesi,,
Hacıbey Tatlıcı,Hükümet Caddesi,,
Yayla Alabalık Maşukiye,,0 262 354 26 58,bilgi@yaylaalabalikmasukiye.com
Maşukiye Irmak Alabalık,,0534 744 50 98,
Osmanlı Restoran,,0262 354 36 35,
İbrahim Usta Lokantası,,,
Çorbam,,,
Efe Lokantası,,0262 331 20 66,
Diego Pizza,,,
Pidem,,,
Dostlar Sofrası 1986,,,
LokmaBox,,,
Kervan,,,
Avcının Yeri,,,
Midyeci Yasin,,,
Yurdagül Kızarmış Piliç & Közde Kanat,Sapanca Yolu Caddesi,,
Mutlu Ayşe Gözleme Evi,Kargalı Köyü İç Yolu,,
Canyiğit Kebap & Pide,kömürcüoğlu caddesi,+90 537 659 45 13,
Hacıaskerin Sofrası,Fevzi Çakmak Caddesi,+90 262 658 8086,
Pide 44,,+90 543 914 33 45,
Öz Namlı Bey,,,
Ünal Babanın Yeri,,,
Kızılkaya Restorant,,,
41 Katık Dürüm,,,
Küneffechi,,,
Mavi İskender & Kebap,,,
Bekirdere Köftecisi,,,
Karadeniz Pide,,,
Derince Islama Köfteci,,,
Adalı Köfteci,,,
Lakehouse / Gölevi,,,
Hamada Künefe,,,
Köfteci Veli,,,
@Pilav,,,
Damak Restoran,,,
Lokanta Can Can,,,
Derince Belediyesi Kent Lokantası,Denizciler Caddesi,,
Duha Restaurant,,,
Kavurmacı Çağrı,,,
Bowl Pizza & Makarna,,,
Kebapçı Ali,,,
Snoopy Pizza,,,
Çınar Lokantası,,,
Esnaf Lokantası,,0542 819 41 61,
Gözde Lahmacun,,,
Paçacı Zihni,,,
Bi Porsiyon,,,
Meşhur Köfteci,,,
Nuh Lokantası,,,
Hereke Dönercisi,,,
Cadde Katık,,,
Nefis Ev Yemekleri,,,
Kale Dönercisi,,,
Soğuk Su Restorant,,,
Susam Börek,Yeni Bağdat Caddesi,,
Likarba,,,
Foşa Garden Metin Garden,,,
URFA Yörem Baklavaları,,,
Mostar işkembe,,,
değirmen,,,
okul kantini,,,
beybaba,,+90 262 655 54 54,
köprübaşı,,,
metin usta,,,
Maide,,,
Kelebek Cafe ve Restaurant,,,
Bedo Kebap,,,
Köfteci Yusuf,,,
Naim Usta Restaurant,,,
Kokoreç Office,,,
MiniKöşk,,,
Refiye Restoran,,,
Köseoğlu Pide,,,
Özler Lezzet Pazarı,,0 262 323 75 75,info@ozleret.com
İzmit Yelken Kulübü,,,
Balıkçı Selim,,,
Serender Park Restaurant & Kır Düğün Bahçesi,,0262 352 35 30,
Başol Et Kasap,,,
Doğapark,,,
Antik Köfte Restaurant,,,
Sümela Pide,,,
Çorba Aşina,,,
antik köfte,,,
Tarihi Adana Kebapçısı,Mutlukent Bulvarı,+90 262 721 02 95,
Yelken Restoran & Cafe,Rıhtım Caddesi,,
Bostan Kardeşler,,0 262 333 15 55,
Taka Taka,,,
Cevizdibi Yıldız Restaurant,,0 262 354 20 24,
Taşhan Cafe Restaurant,,0262 333 22 22,
KISMETİM,Denizciler Caddesi,(0262) 223 21 96,
Körfez Belediyesi Nazende Cafe & Restorant,,,
Güzide,,,
Beşdivan Tesisleri,,,
Bal Marina Cafe & Restaurant,,,
Joyy Cafe & Restaurant,,,
Timata Cafe,,,
,,,
Pizza Piece,,,
