Adı,Adres,Telefon,Web Sitesi,E-posta,Google Maps Link
KLİDA CAFE RESTUARANT,"Körfez, Liman Cd. NO 62, 41300 Başiskele/Kocaeli",(0262) 502 32 16,https://www.facebook.com/Klida-Sahil-443772096053009/?ref=settings,Siteye erişilemedi,https://www.google.com/maps/place/KL%C4%B0DA+CAFE+RESTUARANT/data=!4m7!3m6!1s0x14cb459507a34981:0xc8b419d9ee4d4dd3!8m2!3d40.7138172!4d29.9158668!16s%2Fg%2F11gmcc225b!19sChIJgUmjB5VFyxQR001N7tkZtMg?authuser=0&hl=tr&rclk=1
Başiskele Antik Köfte,"Sahil, Liman Cd. No: 35/13, 41090 Başiskele/Kocaeli",0530 018 49 59,N/A,Web sitesi yok,https://www.google.com/maps/place/Ba%C5%9Fiskele+Antik+K%C3%B6fte/data=!4m7!3m6!1s0x14cb45b5e37d7cbb:0x9ade54ad675140e4!8m2!3d40.7175529!4d29.9265047!16s%2Fg%2F11vds1f9jt!19sChIJu3x947VFyxQR5EBRZ61U3po?authuser=0&hl=tr&rclk=1
AliBaba Kocaeli,"Körfez, Liman Cd. No:54, 41245 Başiskele/Kocaeli",0537 501 03 49,N/A,Web sitesi yok,https://www.google.com/maps/place/AliBaba+Kocaeli/data=!4m7!3m6!1s0x14cb45d7f93ed019:0x754c576a73ad8eff!8m2!3d40.7140887!4d29.9146421!16s%2Fg%2F11sj663lgg!19sChIJGdA--ddFyxQR_46tc2pXTHU?authuser=0&hl=tr&rclk=1
Diva,"Körfez mahallesi liman caddesi, Hacı Ramazan Sk., 41030 Başiskele/Kocaeli",0850 888 8841,https://divagarden.com/,divaizmit@hotmail.com,https://www.google.com/maps/place/Diva/data=!4m7!3m6!1s0x14cb451e43b28d89:0x3aebb5a86615532!8m2!3d40.7140877!4d29.9146071!16s%2Fg%2F11g0nkb63d!19sChIJiY2yQx5FyxQRMlVhhlq7rgM?authuser=0&hl=tr&rclk=1
Fika Kahve & Mutfak,"Yeniköy Merkez Mahallesi Ilıca Caddesi, Bizim Sk. No:2, 41275 Başiskele/Kocaeli",Telefon Yok,https://instagram.com/fikakahvemutfak?igshid=YmMyMTA2M2Y=,E-posta bulunamadı,https://www.google.com/maps/place/Fika+Kahve+%26+Mutfak/data=!4m7!3m6!1s0x14cb43ec6513d32b:0x42552276082b9fbd!8m2!3d40.698666!4d29.884863!16s%2Fg%2F11trcsvt9w!19sChIJK9MTZexDyxQRvZ8rCHYiVUI?authuser=0&hl=tr&rclk=1
Yazlık Kadırga Tesisleri,"Yeniköy Merkez, 41275 Başiskele/Kocaeli",(0262) 433 20 06,N/A,Web sitesi yok,https://www.google.com/maps/place/Yazl%C4%B1k+Kad%C4%B1rga+Tesisleri/data=!4m7!3m6!1s0x14cb41679e56f683:0x49b0026b5da66e6e!8m2!3d40.6881843!4d29.8726734!16s%2Fg%2F11fx8_lt9m!19sChIJg_ZWnmdByxQRbm6mXWsCsEk?authuser=0&hl=tr&rclk=1
Seyir 360 Cafe Restaurant,"ışıltı sok. Mikav, Yuvacık Yakacık, mesire alanı 16/33, 41090 Başiskele/Kocaeli",0530 341 53 60,https://www.seyir360.com/qr-menu/,E-posta bulunamadı,https://www.google.com/maps/place/Seyir+360+Cafe+Restaurant/data=!4m7!3m6!1s0x14cb5d1fb2372987:0x4d3d6eb308327c54!8m2!3d40.6879521!4d29.9502844!16s%2Fg%2F11sh4bwcw6!19sChIJhyk3sh9dyxQRVHwyCLNuPU0?authuser=0&hl=tr&rclk=1
Yuvacık Çamlıtepe Restaurant,"Yuvacık Yakacık, Çınardere Cd. No:69, 41090 Başiskele/Kocaeli",Telefon Yok,N/A,Web sitesi yok,https://www.google.com/maps/place/Yuvac%C4%B1k+%C3%87aml%C4%B1tepe+Restaurant/data=!4m7!3m6!1s0x14cb433cde4dfd1d:0xf77aa54ab34896e2!8m2!3d40.6578413!4d29.9540281!16s%2Fg%2F11c0r2l9fc!19sChIJHf1N3jxDyxQR4pZIs0qlevc?authuser=0&hl=tr&rclk=1
The Hunger İzmit Symbol Avm,"Ovacık Mahallesi D100 Karayolu Caddesi No: 48 GF Başiskele, 41190 Başiiskele/Kocaeli",0537 569 53 68,https://www.thehunger.com.tr/,thehunger@thehunger.com.tr,https://www.google.com/maps/place/The+Hunger+%C4%B0zmit+Symbol+Avm/data=!4m7!3m6!1s0x14cb51a59095ae37:0x9f1888c27f4cc476!8m2!3d40.7572302!4d29.9791631!16s%2Fg%2F11tj6gh0hw!19sChIJN66VkKVRyxQRdsRMf8KIGJ8?authuser=0&hl=tr&rclk=1
Çınaraltı Künefe & Kahvaltı Başiskele,"Körfez, Liman Cd. No:116, 41245 Başiskele/Kocaeli",(0262) 414 61 41,http://www.cinaraltikunefe.com/,info@cinaraltikunefe.com,https://www.google.com/maps/place/%C3%87%C4%B1naralt%C4%B1+K%C3%BCnefe+%26+Kahvalt%C4%B1+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb45d432b5becd:0x335fba193c4ea300!8m2!3d40.7162941!4d29.9217853!16s%2Fg%2F11tws2mz49!19sChIJzb61MtRFyxQRAKNOPBm6XzM?authuser=0&hl=tr&rclk=1
Taşköprü Restaurant Kafe,"Servetiye Cami, dere mevkii No:3, 41090 Başiskele/Kocaeli",0537 500 17 71,N/A,Web sitesi yok,https://www.google.com/maps/place/Ta%C5%9Fk%C3%B6pr%C3%BC+Restaurant+Kafe/data=!4m7!3m6!1s0x14cb43be86595d7f:0xbedf00374637c84b!8m2!3d40.6420701!4d29.9417073!16s%2Fg%2F11p0z9k9k1!19sChIJf11Zhr5DyxQRS8g3RjcA374?authuser=0&hl=tr&rclk=1
Jumbo Künefe Başiskele Sahil,"Körfez, Liman Cd. No: 70, 41245 Başiskele/Kocaeli",(0262) 343 43 42,https://jumbokunefe.com/,"ilkeracay@jumbokunefe.com, e.kekliik@gmail.com, burakbektas@jumbokunefe.com, cerenkanberoglu@ilepa.com.tr, info@jumbokunefe.com, arif@ilepa.com.tr",https://www.google.com/maps/place/Jumbo+K%C3%BCnefe+Ba%C5%9Fiskele+Sahil/data=!4m7!3m6!1s0x14cb455089b9075d:0x599248a3e3fa37dc!8m2!3d40.713712!4d29.916774!16s%2Fg%2F11v097zmc_!19sChIJXQe5iVBFyxQR3Df646NIklk?authuser=0&hl=tr&rclk=1
İskele Naila Cafe Restaurant,"No:, Körfez, Liman Cd. No:17, 41090 Başiskele/Kocaeli",(0262) 343 48 33,http://www.iskelenaila.com/,E-posta bulunamadı,https://www.google.com/maps/place/%C4%B0skele+Naila+Cafe+Restaurant/data=!4m7!3m6!1s0x14cb44427ed059dd:0x20564b1aee4128e2!8m2!3d40.7151074!4d29.9130462!16s%2Fg%2F11b7q30q0x!19sChIJ3VnQfkJEyxQR4ihB7hpLViA?authuser=0&hl=tr&rclk=1
Soğuksu Restaurant,"Şehitekrem, Piknik Sk., 41030 Başiskele/Kocaeli",(0262) 342 43 42,https://instagram.com/soguksurestaurantbahcecik?utm_medium=copy_link,E-posta bulunamadı,https://www.google.com/maps/place/So%C4%9Fuksu+Restaurant/data=!4m7!3m6!1s0x14cb43a63f9e910b:0xffa28acc36f6abe6!8m2!3d40.6665169!4d29.9235336!16s%2Fg%2F11b7lnck6y!19sChIJC5GeP6ZDyxQR5qv2NsyKov8?authuser=0&hl=tr&rclk=1
Köfteci Yusuf,"Ovacık, D100 No:18, 41140 Başiskele/Kocaeli",444 6 162,https://www.kofteciyusuf.com/,Siteye erişilemedi,https://www.google.com/maps/place/K%C3%B6fteci+Yusuf/data=!4m7!3m6!1s0x408703b02dc8c6cd:0x9195ea3dcd417229!8m2!3d40.7598112!4d29.9742297!16s%2Fg%2F11clwj6t6q!19sChIJzcbILbADh0ARKXJBzT3qlZE?authuser=0&hl=tr&rclk=1
Topçuoğlu inşaat,"Yeşilyurt, Hoca Ahmet Yesevi Cd. No:320/A, 41030 Başiskele/Kocaeli",0545 482 41 41,N/A,Web sitesi yok,https://www.google.com/maps/place/Top%C3%A7uo%C4%9Flu+in%C5%9Faat/data=!4m7!3m6!1s0x14cb451ab438e433:0x138c8568303a556b!8m2!3d40.7198453!4d29.947967!16s%2Fg%2F11ndw6h46b!19sChIJM-Q4tBpFyxQRa1U6MGiFjBM?authuser=0&hl=tr&rclk=1
Hermess Italian,"Körfez, Bekçi Sk. No:20, 41245 Başiskele/Kocaeli",0530 545 11 27,https://hermessitalian.com/,Site hatası,https://www.google.com/maps/place/Hermess+Italian/data=!4m7!3m6!1s0x14cb45aee5fd2657:0xe5e5e77625a69df8!8m2!3d40.7160838!4d29.9222941!16s%2Fg%2F11krp3jbh_!19sChIJVyb95a5FyxQR-J2mJXbn5eU?authuser=0&hl=tr&rclk=1
Kasap Cemal,"Vezirçiftliği Fakülte Caddesi, Gül Sk. No:82, 41140 Başiskele/Kocaeli",0531 316 83 19,N/A,Web sitesi yok,https://www.google.com/maps/place/Kasap+Cemal/data=!4m7!3m6!1s0x14cb4513c820f9ef:0xf4fa3bbe0fc95c4!8m2!3d40.7411309!4d29.9612706!16s%2Fg%2F11h18gkpzd!19sChIJ7_kgyBNFyxQRxJX84LujTw8?authuser=0&hl=tr&rclk=1
Sahil Kafe,"Seymen, Liman Cd. No:5, 41245 Başiskele/Kocaeli",0533 574 30 72,N/A,Web sitesi yok,https://www.google.com/maps/place/Sahil+Kafe/data=!4m7!3m6!1s0x14cb446a54fa7669:0xb893c891324fb1eb!8m2!3d40.7139914!4d29.9074733!16s%2Fg%2F11bycj89s2!19sChIJaXb6VGpEyxQR67FPMpHIk7g?authuser=0&hl=tr&rclk=1
Asgana Taş Ev,"Seymen, Hacıbey Sk. No:42, 41245 Başiskele/Kocaeli",0536 496 09 11,http://www.asganatasev.com/,E-posta bulunamadı,https://www.google.com/maps/place/Asgana+Ta%C5%9F+Ev/data=!4m7!3m6!1s0x14cb456ac1726f31:0x917fc3b41cb15095!8m2!3d40.7113945!4d29.9013922!16s%2Fg%2F11f6xk49x2!19sChIJMW9ywWpFyxQRlVCxHLTDf5E?authuser=0&hl=tr&rclk=1
Gölbaşı Restaurant,"Hisareyn Mh. Fatih Cd. No:185, Gölcük / Kocaeli, 41663",,http://www.golbasirestaurant.net/,iletisim@golbasirestaurant.net,https://www.google.com/maps/place/G%C3%B6lba%C5%9F%C4%B1+Restaurant/data=!4m7!3m6!1s0x14cb40cbf7721973:0x5c535b03c9927b83!8m2!3d40.6831817!4d29.8660945!16s%2Fg%2F1hc1l_m9w!19sChIJcxly98tAyxQRg3uSyQNbU1w?authuser=0&hl=tr&rclk=1
I Love Pizza,"Yeşilyurt, Galip Erenoğlu Cd. No:26, 41190 Başiskele/Kocaeli",(0262) 503 03 03,N/A,Web sitesi yok,https://www.google.com/maps/place/I+Love+Pizza/data=!4m7!3m6!1s0x14cb452b5538230d:0xbcebcb3a401ff78a!8m2!3d40.7105779!4d29.965898!16s%2Fg%2F11qnbnr9d9!19sChIJDSM4VStFyxQRivcfQDrL67w?authuser=0&hl=tr&rclk=1
Mitza park,"Körfez, Liman Cd. No:15 D:15, 41245 Başiskele/Kocaeli",(0262) 343 40 00,N/A,Web sitesi yok,https://www.google.com/maps/place/Mitza+park/data=!4m7!3m6!1s0x14cb4469ef914bcb:0xb87cdddac92c8a8!8m2!3d40.714397!4d29.9113924!16s%2Fg%2F11byxfzsfd!19sChIJy0uR72lEyxQRqMiSrN3Nhws?authuser=0&hl=tr&rclk=1
Muhteşem kebap başiskele,"Sahil, D130 D:1, 41100 Başiskele/Kocaeli",(0262) 351 41 41,N/A,Web sitesi yok,https://www.google.com/maps/place/Muhte%C5%9Fem+kebap+ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb45663a51d2e7:0x3009d5bac72dd235!8m2!3d40.7135696!4d29.9277515!16s%2Fg%2F11h79nb_x5!19sChIJ59JROmZFyxQRNdItx7rVCTA?authuser=0&hl=tr&rclk=1
Izgara köşk,"Servetiye Cami, yuvacık köyü, 41090 Başiskele/Kocaeli",0532 138 73 41,N/A,Web sitesi yok,https://www.google.com/maps/place/Izgara+k%C3%B6%C5%9Fk/data=!4m7!3m6!1s0x14cb434a43f8b661:0xe6dbc7492d750aff!8m2!3d40.6379375!4d29.9445371!16s%2Fg%2F11lc_psm0p!19sChIJYbb4Q0pDyxQR_wp1LUnH2-Y?authuser=0&hl=tr&rclk=1
Kız Kulesi Restaurant,"Mehmetağa, Dereboyu Sk., 41140 Başiskele/Kocaeli",Telefon Yok,https://restaurantguru.com/Basiskele-Kiz-Kulesi-Parki-Golcuk,E-posta bulunamadı,https://www.google.com/maps/place/K%C4%B1z+Kulesi+Restaurant/data=!4m7!3m6!1s0x14cb5ac0ce3e0603:0xe7165414891bf2d4!8m2!3d40.727669!4d29.9918508!16s%2Fg%2F11g690cd4f!19sChIJAwY-zsBayxQR1PIbiRRUFuc?authuser=0&hl=tr&rclk=1
Maydonoz Döner Kocaeli Başiskele,"Yaylacık, Hürler Cd. no: 270/A, 41190 Başiskele/Kocaeli",(0262) 302 00 15,https://www.maydonozdoner.com/,info@maydonozdoner.com,https://www.google.com/maps/place/Maydonoz+D%C3%B6ner+Kocaeli+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb4571ec7211bd:0x8a8b0a6b25376eb5!8m2!3d40.7212991!4d29.9681845!16s%2Fg%2F11vxjx_pj1!19sChIJvRFy7HFFyxQRtW43JWsKi4o?authuser=0&hl=tr&rclk=1
Yuvacık şelalesi,"Servetiye Karşı, 41090 Başiskele/Kocaeli",Telefon Yok,N/A,Web sitesi yok,https://www.google.com/maps/place/Yuvac%C4%B1k+%C5%9Felalesi/data=!4m7!3m6!1s0x14cb43c367ce2465:0xaa86ebca0c273ed0!8m2!3d40.6431628!4d29.9440353!16s%2Fg%2F11j8z_31l6!19sChIJZSTOZ8NDyxQR0D4nDMrrhqo?authuser=0&hl=tr&rclk=1
Başiskele Balıkçısı,"Yeşilyurt, Çuhadar Cd. 26-28, 41190 Başiskele/Kocaeli",(0262) 344 31 77,N/A,Web sitesi yok,https://www.google.com/maps/place/Ba%C5%9Fiskele+Bal%C4%B1k%C3%A7%C4%B1s%C4%B1/data=!4m7!3m6!1s0x14cb45abd5d6199f:0x30e6a0a7d01a3fc9!8m2!3d40.721867!4d29.9498315!16s%2Fg%2F11tfpqzsfc!19sChIJnxnW1atFyxQRyT8a0Keg5jA?authuser=0&hl=tr&rclk=1
Crespo Burger Argentina Başiskele,"Fatih, Galip Erenoğlu Cd. No:12E, 41190 Başiskele/Kocaeli",(0262) 504 41 41,https://www.crespobbq.com/,"c183baa23371454f99f417f6616b724d@sentry.wixpress.com, info@crespoburger.com, 8c4075d5481d476e945486754f783364@sentry.io, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com",https://www.google.com/maps/place/Crespo+Burger+Argentina+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb456dca16e17f:0xff5c1398aeebe549!8m2!3d40.7100783!4d29.9654158!16s%2Fg%2F11t9r03gtq!19sChIJf-EWym1FyxQRSeXrrpgTXP8?authuser=0&hl=tr&rclk=1
Adanalı Kebapçı Namık Usta,"Ovacık, D100 No:24, 41140 Başiskele/Kocaeli",0539 642 87 87,N/A,Web sitesi yok,https://www.google.com/maps/place/Adanal%C4%B1+Kebap%C3%A7%C4%B1+Nam%C4%B1k+Usta/data=!4m7!3m6!1s0x14cb513985e6f4b9:0xe34c64da846e7216!8m2!3d40.759487!4d29.9761528!16s%2Fg%2F11ss3kfcng!19sChIJufTmhTlRyxQRFnJuhNpkTOM?authuser=0&hl=tr&rclk=1
Serbahçe Restorant & Konaklama,"Servetiye Karşı Mah. Hacı Haliller Dere Mevkii No:59 , Yuvacık, 41090 Başiskele/Kocaeli",0533 592 20 50,https://www.serbahce.com/,E-posta bulunamadı,https://www.google.com/maps/place/Serbah%C3%A7e+Restorant+%26+Konaklama/data=!4m7!3m6!1s0x14cb43d0ca5ca1b5:0x3a0818783088d215!8m2!3d40.6348359!4d29.9299303!16s%2Fg%2F11fsk8rqtv!19sChIJtaFcytBDyxQRFdKIMHgYCDo?authuser=0&hl=tr&rclk=1
Pizza V Başiskele,"Fatih, Galip Erenoğlu Cd. No:20, 41190 Başiskele/Kocaeli",(0262) 504 71 11,https://v.pizza/,E-posta bulunamadı,https://www.google.com/maps/place/Pizza+V+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb45c5e2e65fb3:0x692d8f346261a7ef!8m2!3d40.7104956!4d29.9657073!16s%2Fg%2F11s7q0n_n9!19sChIJs1_m4sVFyxQR76dhYjSPLWk?authuser=0&hl=tr&rclk=1
Balıkçı Güngör - Başiskele,"Körfez Mahallesi Liman Caddesi Numara: 100/1, 41245 Başiskele/Kocaeli",(0262) 343 40 59,http://www.instagram.com/balikcigungor,E-posta bulunamadı,https://www.google.com/maps/place/Bal%C4%B1k%C3%A7%C4%B1+G%C3%BCng%C3%B6r+-+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb451c7f29173b:0x408769b03574351a!8m2!3d40.7160771!4d29.9199585!16s%2Fg%2F11fcr8qw83!19sChIJOxcpfxxFyxQRGjV0NbBph0A?authuser=0&hl=tr&rclk=1
Saklı Vadi Yuvacık,"Baraj Kapakları Altı, 41340 Başiskele/Kocaeli",0551 130 02 22,http://saklivadiyuvacik.com/,E-posta bulunamadı,https://www.google.com/maps/place/Sakl%C4%B1+Vadi+Yuvac%C4%B1k/data=!4m7!3m6!1s0x14cb44aac9be8eb3:0x2a8043ef05ed273b!8m2!3d40.679948!4d29.9732003!16s%2Fg%2F1hc4yj3k9!19sChIJs46-yapEyxQROyftBe9DgCo?authuser=0&hl=tr&rclk=1
Nosta&Mira Cafe,"D:No, Paşadağ, 41190 Başiskele/Kocaeli",0530 371 88 93,http://nostamiracafe.eatbu.com/,E-posta bulunamadı,https://www.google.com/maps/place/Nosta%26Mira+Cafe/data=!4m7!3m6!1s0x14cb5bd366231f2b:0x46f007f3f389faf!8m2!3d40.7068666!4d29.9746859!16s%2Fg%2F11gj_k2mcd!19sChIJKx8jZtNbyxQRr584P38AbwQ?authuser=0&hl=tr&rclk=1
Ciğerci Süleyman,":121, 41190 Başiskele/Kocaeli",0532 241 77 75,N/A,Web sitesi yok,https://www.google.com/maps/place/Ci%C4%9Ferci+S%C3%BCleyman/data=!4m7!3m6!1s0x14cb451d32c442f3:0x7c5e4d2c57a3405b!8m2!3d40.7119722!4d29.9110784!16s%2Fg%2F11g0drpm_p!19sChIJ80LEMh1FyxQRW0CjVyxNXnw?authuser=0&hl=tr&rclk=1
Naila Cafe&Bistro,"Sanayi, Liman Cd. No:70, 41100 İzmit/Başiskele/Kocaeli",Telefon Yok,N/A,Web sitesi yok,https://www.google.com/maps/place/Naila+Cafe%26Bistro/data=!4m7!3m6!1s0x14cb445899d4689d:0x7b198d7e6d5bd3ab!8m2!3d40.7167135!4d29.9270896!16s%2Fg%2F11fyx9vl_q!19sChIJnWjUmVhEyxQRq9NbbX6NGXs?authuser=0&hl=tr&rclk=1
Midpoint - Symbol AVM,"Symbol, Kocaeli",Telefon Yok,https://www.tikla.com.tr/midpoint-symbol-kocaeli-avm.html,info@tikla.com.tr,https://www.google.com/maps/place/Midpoint+-+Symbol+AVM/data=!4m7!3m6!1s0x14cb50036a2cb18d:0x7b01956958810603!8m2!3d40.7591603!4d29.9796404!16s%2Fg%2F11c55vzp9q!19sChIJjbEsagNQyxQRAwaBWGmVAXs?authuser=0&hl=tr&rclk=1
Gazi'nin Yeri Konaklama & Restoran,"Yuvacık Barajı Sonu, Yakacık Mah, Hamdi Taşdemir Cd. No:16, 41090 Başiskele/Kocaeli",(0262) 345 00 22,http://www.gazininyeri.com/,info@gazininyeri.com,https://www.google.com/maps/place/Gazi%27nin+Yeri+Konaklama+%26+Restoran/data=!4m10!3m9!1s0x14cb42f165a14ce9:0x502ea3841a5629dd!5m2!4m1!1i2!8m2!3d40.6397833!4d29.9347286!16s%2Fg%2F11btwmhytn!19sChIJ6UyhZfFCyxQR3SlWGoSjLlA?authuser=0&hl=tr&rclk=1
Kirazdere Restoran,"Servetiye Cami Köyü, Yuvacık Yakacık, Baraj Sonu 8.km, 41090 Başiskele/Kocaeli",0539 646 11 88,https://www.kirazdere.com/,E-posta bulunamadı,https://www.google.com/maps/place/Kirazdere+Restoran/data=!4m7!3m6!1s0x14cb42ee32ffdb15:0xcbdde1651b31014f!8m2!3d40.6407812!4d29.9430867!16s%2Fg%2F11gbxg_f95!19sChIJFdv_Mu5CyxQRTwExG2Xh3cs?authuser=0&hl=tr&rclk=1
NAILA GARDEN,"Sanayi, Ömer Türkçakal Blv. No:70, 41100 İzmit/Kocaeli",0531 700 62 70,http://www.nailacafebistro.com/,Site hatası,https://www.google.com/maps/place/NAILA+GARDEN/data=!4m7!3m6!1s0x14cb44fcb947e4ff:0xf653463801d2ac46!8m2!3d40.7220149!4d29.937901!16s%2Fg%2F11cn9jy8pc!19sChIJ_-RHufxEyxQRRqzSAThGU_Y?authuser=0&hl=tr&rclk=1
TANTUNYA BAŞİSKELE KONSOLOSLUĞU,"Serdar, Selahattin Eyyubi Cd. 12/A, 41040 Başiskele/Kocaeli",0555 025 65 56,N/A,Web sitesi yok,https://www.google.com/maps/place/TANTUNYA+BA%C5%9E%C4%B0SKELE+KONSOLOSLU%C4%9EU/data=!4m7!3m6!1s0x14cb458b98b321c7:0xc360a4b5d588140f!8m2!3d40.7140989!4d29.9349303!16s%2Fg%2F11rqs6x1w3!19sChIJxyGzmItFyxQRDxSI1bWkYMM?authuser=0&hl=tr&rclk=1
Marangoz Bahçe Kafe,"Yakacık Mahallesi Çınardere Caddesi, Su Yolu Sk., 41190 Başiskele/Kocaeli",0533 401 67 41,http://www.marangozbahcekafe.com/,E-posta bulunamadı,https://www.google.com/maps/place/Marangoz+Bah%C3%A7e+Kafe/data=!4m7!3m6!1s0x14cb435a63cb254b:0x785f2d2ec81894ce!8m2!3d40.6757373!4d29.9634115!16s%2Fg%2F11f03vv7jx!19sChIJSyXLY1pDyxQRzpQYyC4tX3g?authuser=0&hl=tr&rclk=1
